"species","water","post_num","n_star","lambda","alpha_ii","g_i","s_i"
"ACAM",0.6,1361,99.7715055093806,32.2149919211702,-0.0561546631482911,0.516111111111111,0.16
"ACAM",0.6,2233,109.440185222935,28.332849259117,-0.0489201673373199,0.516111111111111,0.16
"ACAM",0.6,442,103.813201440588,25.7539288806878,-0.0497905947575032,0.516111111111111,0.16
"ACAM",0.6,1689,101.354043010189,28.8998541431461,-0.053201868043568,0.516111111111111,0.16
"ACAM",0.6,1573,112.783360768362,24.9337447676829,-0.045274510868247,0.516111111111111,0.16
"ACAM",0.6,1027,106.776881457083,29.5799812747208,-0.0509220220245629,0.516111111111111,0.16
"ACAM",0.6,911,111.739581523045,31.6333960521002,-0.0498242035275188,0.516111111111111,0.16
"ACAM",0.6,663,111.519416558164,27.002914523389,-0.0471727683422913,0.516111111111111,0.16
"ACAM",0.6,1050,103.674954762558,28.8555022307006,-0.0519821649521505,0.516111111111111,0.16
"ACAM",0.6,1958,110.274220106419,26.775578542728,-0.0475568838921521,0.516111111111111,0.16
"ACAM",0.6,941,98.4828482265465,24.1085088005674,-0.051186560742848,0.516111111111111,0.16
"ACAM",0.6,1644,118.483979468516,29.1448180021461,-0.0456481849729148,0.516111111111111,0.16
"ACAM",0.6,1147,105.975567052414,28.3828694330325,-0.050551744916087,0.516111111111111,0.16
"ACAM",0.6,1943,110.909963913279,30.0494080749358,-0.0492994658148485,0.516111111111111,0.16
"ACAM",0.6,2384,92.8683208597416,31.1618903292716,-0.059635386475871,0.516111111111111,0.16
"ACAM",0.6,116,100.602242132665,32.029241717011,-0.0555795865582239,0.516111111111111,0.16
"ACAM",0.6,340,101.216257952607,29.2613648749394,-0.053512265569824,0.516111111111111,0.16
"ACAM",0.6,2396,105.461179223908,29.089874036633,-0.0512503509953376,0.516111111111111,0.16
"ACAM",0.6,1619,95.8246489342671,26.6343592163758,-0.0546211461257023,0.516111111111111,0.16
"ACAM",0.6,2230,96.8968580475217,31.4948063234066,-0.0573685091354452,0.516111111111111,0.16
"ACAM",0.6,1297,105.165692965482,28.1650273537394,-0.0507990890216592,0.516111111111111,0.16
"ACAM",0.6,1974,107.022576206303,28.3798910967965,-0.0500552938917403,0.516111111111111,0.16
"ACAM",0.6,1130,108.575144199556,28.5800802545276,-0.0494649672191256,0.516111111111111,0.16
"ACAM",0.6,2443,100.621729768991,31.2408890848645,-0.0550889350153262,0.516111111111111,0.16
"ACAM",0.6,1820,107.112481570276,30.8834053694637,-0.0515424981364845,0.516111111111111,0.16
"ACAM",0.6,1429,101.551171589295,31.0887552788768,-0.0544915969241456,0.516111111111111,0.16
"ACAM",0.6,380,90.7769700306276,30.0557213613099,-0.060237844540018,0.516111111111111,0.16
"ACAM",0.6,1375,112.697325879019,28.0448237645597,-0.0473306216511537,0.516111111111111,0.16
