"focal","water","post_num","igr","dens"
"ACAM",0.6,1361,-2.03168595652943,99.7715055093806
"ACAM",0.6,2233,-2.33074586116289,109.440185222935
"ACAM",0.6,442,-1.64115209233962,103.813201440588
"ACAM",0.6,1689,-2.1706100922986,101.354043010189
"ACAM",0.6,1573,-1.80955012538771,112.783360768362
"ACAM",0.6,1027,-2.15273133057191,106.776881457083
"ACAM",0.6,911,-2.30874192409244,111.739581523045
"ACAM",0.6,663,-2.29640701610548,111.519416558164
"ACAM",0.6,1050,-1.99629138812979,103.674954762558
"ACAM",0.6,1958,-1.83681458469863,110.274220106419
"ACAM",0.6,941,-1.88483010442421,98.4828482265465
"ACAM",0.6,1644,-2.10413329823463,118.483979468516
"ACAM",0.6,1147,-2.27959392265961,105.975567052414
"ACAM",0.6,1943,-2.08807608047625,110.909963913279
"ACAM",0.6,2384,-1.57904994141706,92.8683208597416
"ACAM",0.6,116,-1.88005761570004,100.602242132665
"ACAM",0.6,340,-1.60248263980953,101.216257952607
"ACAM",0.6,2396,-2.31522764799369,105.461179223908
"ACAM",0.6,1619,-1.70539558290726,95.8246489342671
"ACAM",0.6,2230,-2.12332026902793,96.8968580475217
"ACAM",0.6,1297,-2.31581827855774,105.165692965482
"ACAM",0.6,1974,-1.7889805568358,107.022576206303
"ACAM",0.6,1130,-1.79684296132343,108.575144199556
"ACAM",0.6,2443,-1.36088485128026,100.621729768991
"ACAM",0.6,1820,-2.39212223991097,107.112481570276
"ACAM",0.6,1429,-1.86468899922997,101.551171589295
"ACAM",0.6,380,-1.70164737327886,90.7769700306276
"ACAM",0.6,1375,-2.20320427527124,112.697325879019
"ACAM",0.6,1757,-1.50683686046968,97.7630783580647
"ACAM",0.6,1680,-1.94378357670074,109.70915469732
"ACAM",0.6,1828,-2.44955703242612,104.104881544847
"ACAM",0.6,1179,-2.225795988925,116.694725078401
"ACAM",0.6,1907,-1.17128713450677,89.9262374488347
"ACAM",0.6,417,-2.33808259066418,117.405732597781
"ACAM",0.6,121,-2.19186249707119,98.4182344284599
"ACAM",0.6,2249,-2.26806415616093,116.175303621597
"ACAM",0.6,1766,-2.05256142516874,107.928697062795
"ACAM",0.6,1278,-1.77367658476462,110.07589267665
"ACAM",0.6,852,-1.43323854079049,101.284596968104
"ACAM",0.6,701,-1.72385637610812,95.3327861609016
"ACAM",0.6,1282,-1.83142075510552,102.042165448114
"ACAM",0.6,118,-2.35360400584607,107.890252448399
"ACAM",0.6,1471,-2.16088853301474,114.974082301859
"ACAM",0.6,1317,-2.12005431152937,104.547914685599
"ACAM",0.6,949,-2.32737991957757,110.963238877815
"ACAM",0.6,2218,-1.20400389549788,90.7779612117434
"ACAM",0.6,1739,-1.45888787714678,93.0769329528176
"ACAM",0.6,2117,-1.70740043938198,118.55982413444
"ACAM",0.6,139,-2.30692882278913,105.431141443953
"ACAM",0.6,1367,-2.03462140845808,101.122546535908
"ACAM",0.6,71,-2.28368574815235,106.319859908804
"ACAM",0.6,681,-1.45362410955702,85.0031252350431
"ACAM",0.6,1271,-2.15973108644528,108.474407377223
"ACAM",0.6,1652,-1.97991556420843,105.118541368323
"ACAM",0.6,339,-2.33810719728834,116.645083765772
"ACAM",0.6,2393,-1.30963977469756,103.096972953713
"ACAM",0.6,1635,-2.44557480714495,118.514578302304
"ACAM",0.6,2009,-1.7188708868835,93.0580720253218
"ACAM",0.6,2007,-1.27763026493611,90.6847543256001
"ACAM",0.6,1563,-2.46291408529918,99.6059531513322
"ACAM",0.6,1737,-1.52828269659421,93.9722002466407
"ACAM",0.6,621,-2.08819679150205,115.887235719443
"ACAM",0.6,1188,-1.88401178637046,109.438272335422
"ACAM",0.6,374,-2.39445835721619,105.589901315388
"ACAM",0.6,283,-2.22239664538351,112.284309302548
"ACAM",0.6,87,-1.80349156244082,99.7064938212982
"ACAM",0.6,487,-2.2908530012972,110.764545366493
"ACAM",0.6,858,-2.34676541564418,120.495787855996
"ACAM",0.6,2025,-2.16327474435597,112.868764293513
"ACAM",0.6,1038,-1.97033593559051,105.588673215604
"ACAM",0.6,1783,-2.14811235428336,99.3746993459882
"ACAM",0.6,1832,-2.36198565030413,112.158810079257
"ACAM",0.6,2181,-2.24700873406107,101.7622771713
"ACAM",0.6,971,-2.2385078622728,113.433158835578
