"focal","water","post_num","igr","dens"
"ACAM",0.6,1422,-1.85499283859975,101.528143930593
"ACAM",0.6,1017,-2.29225360512432,108.041534258664
"ACAM",0.6,3908,-2.23878385640602,115.439080675093
"ACAM",0.6,679,-2.4000337405359,118.412178755726
"ACAM",0.6,2177,-2.39053944373946,105.195256252112
"ACAM",0.6,930,-2.29739060132703,107.994592393176
"ACAM",0.6,1533,-1.86206713001539,103.959422481001
"ACAM",0.6,471,-2.28427622744372,125.522342976898
"ACAM",0.6,2347,-2.3859331745509,110.730939960755
"ACAM",0.6,270,-1.29548411526215,100.387280636825
"ACAM",0.6,1211,-1.81448645324151,115.815330904986
"ACAM",0.6,3379,-2.53132603428262,126.943428946629
"ACAM",0.6,597,-2.19911248844091,108.000505505254
"ACAM",0.6,1301,-2.13938532677641,115.615416179416
"ACAM",0.6,3946,-2.27102037379776,117.377503819987
"ACAM",0.6,1974,-1.6511885883128,122.175176790254
"ACAM",0.6,3566,-1.09310837667537,109.226226301247
"ACAM",0.6,330,-2.02642252434273,113.323046184318
"ACAM",0.6,1799,-1.8841979500366,115.65743760149
"ACAM",0.6,3913,-2.21248021899608,125.030932105918
"ACAM",0.6,1615,-1.89280972205473,110.444473259473
"ACAM",0.6,1749,-2.42696442795454,115.509935321508
"ACAM",0.6,37,-2.2954823865969,132.215683202547
"ACAM",0.6,1129,-1.78435927880747,109.775534846279
"ACAM",0.6,729,-2.3099341697153,122.399792762871
"ACAM",0.6,878,-2.38441468725249,106.715060956122
"ACAM",0.6,485,-2.10809150748518,116.275125596807
"ACAM",0.6,3749,-1.65775850555138,105.210768186377
"ACAM",0.6,1826,-2.49826935130029,126.516382308501
"ACAM",0.6,2922,-2.24792745654268,107.289705327414
"ACAM",0.6,2430,-2.23672450748518,112.631307366086
"ACAM",0.6,3673,-2.10566763422015,124.08524790401
"ACAM",0.6,975,-1.57593393914207,113.014238928663
"ACAM",0.6,2849,-2.21782456390671,107.92455235496
"ACAM",0.6,2900,-2.20754588383831,121.639091069237
"ACAM",0.6,2979,-2.06244831357775,113.824709365866
"ACAM",0.6,2374,-1.77832518893295,115.211016059231
"ACAM",0.6,2378,-1.12156968492667,99.9402876172527
"ACAM",0.6,554,-2.47505809829275,117.010620495123
"ACAM",0.6,1446,-2.08737024492609,97.6611376407647
"ACAM",0.6,2159,-2.15533265446194,111.490975643511
"ACAM",0.6,3476,-2.53310618552028,124.037535401901
"ACAM",0.6,1948,-1.95742988258241,119.397196871464
"ACAM",0.6,2580,-1.79385324592428,110.411014215833
"ACAM",0.6,1530,-2.30325551216439,117.542005298239
"ACAM",0.6,2604,-1.99180009162497,105.145174613011
"ACAM",0.6,2937,-2.33607157411348,114.167244790928
"ACAM",0.6,343,-2.21971426982231,115.328335761056
"ACAM",0.6,2630,-2.45582687965517,116.949935269512
"ACAM",0.6,3193,-2.07987145170508,108.986404234016
"ACAM",0.6,40,-2.37524786876311,118.031372229147
"ACAM",0.6,3756,-1.95042984426963,108.297492026309
"ACAM",0.6,537,-1.90929142408568,123.841394486986
"ACAM",0.6,2423,-1.85909057593322,114.012545821357
"ACAM",0.6,248,-2.35234180632546,114.204722523743
"ACAM",0.6,1222,-2.45482716436888,120.079190114219
"ACAM",0.6,2426,-2.3622332393928,124.432634122296
"ACAM",0.6,2087,-2.40312964091116,118.974441253736
"ACAM",0.6,2483,-2.46690277072813,141.444854130057
"ACAM",0.6,2858,-2.50241046275627,129.367934472071
"ACAM",0.6,1414,-2.28161800982078,122.208517902411
"ACAM",0.6,1304,-2.45536363644726,126.070401148995
"ACAM",0.6,1696,-2.12121484344352,114.696461995186
"ACAM",0.6,526,-2.45264316486718,118.639898383913
"ACAM",0.6,2690,-2.23530583285668,123.740134776353
"ACAM",0.6,1069,-1.87288426960689,111.241761454031
"ACAM",0.6,1426,-2.23953625895531,113.883568146911
"ACAM",0.6,22,-2.44127943989599,125.291365600064
"ACAM",0.6,1742,-2.29218383458637,119.941944973944
"ACAM",0.6,1766,-2.03992795700858,116.34027497098
"ACAM",0.6,2241,-2.22787230974211,110.174958861791
"ACAM",0.6,1395,-2.19069159014582,111.323146207883
"ACAM",0.6,2547,-2.42303635818051,120.231686145704
"ACAM",0.6,1128,-2.28003049249765,99.349531842344
"ACAM",0.6,3398,-2.09703625986787,111.744530218898
"ACAM",0.6,983,-2.40150446614805,116.038358577186
"ACAM",0.6,1791,-2.08152973547038,118.320071658253
"ACAM",0.6,1516,-2.3507443075827,116.18768869863
"ACAM",0.6,3910,-2.34137815142519,115.932475093692
