"focal","water","post_num","igr","equil","alpha_inter","lambda","microbe"
"ACAM",0.6,862,-2.12676058518294,107,-0.0540662932459601,27.0729698434848,1
"ACAM",0.6,2713,-2.09981432527238,112,-0.0513507590283472,28.2441019935066,1
"ACAM",0.6,2545,-2.28233671173365,114,-0.055844566103279,28.4743305489136,1
"ACAM",0.6,135,-2.15231320152334,106,-0.0554922592648693,27.6646938596124,1
"ACAM",0.6,2835,-2.39490686941865,112,-0.0610577579597209,25.5032285054667,1
"ACAM",0.6,505,-2.41336965785284,111,-0.0642633611302329,30.1958260074644,1
"ACAM",0.6,3656,-2.17836491954367,110,-0.0548303884906458,29.7065240133204,1
"ACAM",0.6,1768,-2.2718312018337,113,-0.0556332905004719,27.5410566516581,1
"ACAM",0.6,2393,-2.32664297837152,114,-0.0580979287305919,30.1812842957049,1
"ACAM",0.6,2993,-2.27276903796807,110,-0.0580192960628745,30.081631580746,1
"ACAM",0.6,929,-2.12928597922993,105,-0.05553117106715,28.1466247039917,1
"ACAM",0.6,2554,-2.47300109961164,119,-0.0650443003864653,31.6352392477566,1
"ACAM",0.6,1531,-2.40099942916355,117,-0.06072873267734,32.0287969445734,1
"ACAM",0.6,3430,-2.11400837202776,109,-0.0535679558925644,29.6307670023191,1
"ACAM",0.6,3325,-2.22502272881395,104,-0.0592716728167178,28.9564260231808,1
"ACAM",0.6,1189,-1.83377635675101,107,-0.047866715937454,27.5434538833631,1
"ACAM",0.6,3472,-2.35432995449145,114,-0.0585205302393411,27.5536957549245,1
"ACAM",0.6,3751,-2.05711658452751,115,-0.0483634481645552,26.105354014805,1
"ACAM",0.6,1248,-2.40197010600164,108,-0.0651992681310035,29.7364136240395,1
"ACAM",0.6,2224,-2.0411034364874,107,-0.0524842492065653,28.6693253738985,1
"ACAM",0.6,3281,-2.1260416393893,106,-0.0545034576556098,26.8692033781216,1
"ACAM",0.6,166,-2.3432604170751,111,-0.0596971926852179,27.9174329320911,1
"ACAM",0.6,3569,-2.26851120317388,108,-0.0573686862691637,25.3585868180719,1
"ACAM",0.6,2721,-2.15222088407611,112,-0.0524176125081343,27.3361850400485,1
"ACAM",0.6,232,-2.10410680526806,106,-0.0544452668581753,28.5224283052745,1
"ACAM",0.6,539,-2.14430283828636,113,-0.0526747547898275,30.37380242588,1
"ACAM",0.6,2328,-2.26399529168837,106,-0.0582982948664914,25.3675056181666,1
"ACAM",0.6,3357,-2.06563107421782,115,-0.0491168491721265,27.8957584368038,1
"ACAM",0.6,1164,-2.1153142348762,115,-0.0512106938407699,30.9941786558768,1
"ACAM",0.6,491,-2.11714179352806,119,-0.0481610353605943,26.260504281522,1
"ACAM",0.6,3094,-2.10204326976073,111,-0.0524393012068695,30.1088147019086,1
"ACAM",0.6,18,-2.24657333152086,108,-0.0581012220243324,30.0031399562592,1
"ACAM",0.6,918,-1.74325742791725,105,-0.0471069821996722,27.2992179415725,1
"ACAM",0.6,3128,-2.22833252574381,110,-0.0564581422044947,30.0162578933918,1
"ACAM",0.6,2288,-2.35280807986876,119,-0.0555640223723245,26.1072533385974,1
"ACAM",0.6,3932,-2.26631786336389,108,-0.058588106305566,29.2947123453243,1
"ACAM",0.6,1457,-2.36066756246135,119,-0.056902990094917,29.4821531019724,1
"ACAM",0.6,1438,-2.26681357776485,103,-0.0621243794123201,31.4659888753778,1
"ACAM",0.6,3224,-2.1539640972649,117,-0.0497415470596292,25.7887180074792,1
"ACAM",0.6,3009,-2.24931271728064,105,-0.0591058785609393,27.7010007728147,1
"ACAM",0.6,1605,-1.97500160211151,114,-0.0468255516056455,25.4051368113598,1
"ACAM",0.6,3715,-2.25505645402291,112,-0.0565071863203538,30.5478413803451,1
"ACAM",0.6,2476,-2.14555673156007,112,-0.0527530102718982,29.0980709559278,1
"ACAM",0.6,1615,-2.36717188365462,116,-0.0583557825485057,28.273780544454,1
"ACAM",0.6,2460,-2.37226981614031,115,-0.0596005583565396,29.9528777734076,1
"ACAM",0.6,3982,-2.40773908300893,111,-0.0631332828458541,27.6409043124451,1
"ACAM",0.6,1123,-2.23204353180917,113,-0.0544756623330114,27.9531042173781,1
"ACAM",0.6,2146,-2.34053448047466,113,-0.0589658920407854,29.4917975903209,1
"ACAM",0.6,1454,-2.14058800516984,109,-0.0531166656914942,26.1247705044982,1
"ACAM",0.6,3249,-1.84331280783206,104,-0.0505788216540929,31.0672703372682,1
"ACAM",0.6,2976,-2.27691544921768,113,-0.0559628244446459,27.8532536658799,1
"ACAM",0.6,3184,-2.17566055939375,109,-0.0550209431855072,28.9318508866382,1
"ACAM",0.6,2998,-2.35192542786758,120,-0.0565516436668813,31.3557980661788,1
"ACAM",0.6,2069,-2.25736772815655,121,-0.0520453486930591,29.4052792560081,1
"ACAM",0.6,2478,-2.28115497867757,106,-0.0595281246518848,27.0619803504046,1
"ACAM",0.6,3683,-2.41903470294198,114,-0.0614253507648398,25.2886967574607,1
"ACAM",0.6,3622,-2.12507509071572,106,-0.0548416731765157,27.9521389333361,1
"ACAM",0.6,1249,-2.25433969967278,117,-0.0524529216199082,25.251849580579,1
"ACAM",0.6,3254,-2.07366971980839,112,-0.0499098880246552,25.8014793036137,1
"ACAM",0.6,2359,-2.2887137626535,109,-0.0587883857659864,28.9941009654162,1
"ACAM",0.6,1502,-2.10697690851877,113,-0.0519192088576865,31.0981133336598,1
"ACAM",0.6,2114,-2.20264520376501,108,-0.0558678671089866,27.4117085606483,1
"ACAM",0.6,1246,-1.93169983714926,113,-0.0469251356193923,26.9184954745221,1
"ACAM",0.6,375,-2.02871403105069,109,-0.050586480695524,26.7489661604805,1
"ACAM",0.6,87,-2.06572254881302,104,-0.0551194747295959,30.2004324359031,1
"ACAM",0.6,2499,-1.85964920315981,104,-0.0492157041155949,25.9292172602197,1
"ACAM",0.6,43,-2.21594814847247,106,-0.057060451988018,26.6351160131406,1
"ACAM",0.6,3518,-2.1500209620354,103,-0.0577959376718176,30.035227525793,1
"ACAM",0.6,3369,-2.35959248638936,111,-0.0614023766108613,30.9654684305868,1
"ACAM",0.6,2870,-2.4196705860811,115,-0.0622897321902658,29.6613058352203,1
"ACAM",0.6,871,-2.42343599786287,118,-0.059787542300159,25.7886144556481,1
"ACAM",0.6,3838,-2.21943050871311,107,-0.0566602101131238,26.6496110062871,1
"ACAM",0.6,1488,-2.25898057365588,112,-0.0551627722318309,25.9136868026007,1
"ACAM",0.6,748,-2.25328981322533,108,-0.0570611446672024,26.1737571855395,1
"ACAM",0.6,820,-2.14903652574105,107,-0.0556669818439457,30.2254184339959,1
"ACAM",0.6,1890,-2.32824387012471,113,-0.0582369780020226,28.6797403797033,1
"ACAM",0.6,1105,-2.03320659987108,103,-0.0548755430109519,30.4302415748499,1
"ACAM",0.6,2607,-1.76382389333584,106,-0.0467412785373611,26.5825302061646,1
"ACAM",0.6,1138,-1.81236590224857,110,-0.0465752574190756,28.793865333663,1
"ACAM",0.6,754,-1.96742212053885,105,-0.0518284192768482,28.7027762373259,1
"ACAM",0.6,3555,-1.71217417110585,103,-0.0482850949352532,29.6956321419232,1
"ACAM",0.6,3342,-1.94050733384044,109,-0.0493127756318345,28.5554733867452,1
"ACAM",0.6,3077,-1.87739749567025,106,-0.0487124969457556,26.2263525630725,1
"ACAM",0.6,148,-2.25519254584757,113,-0.0554996289157334,28.941088074788,1
"ACAM",0.6,2285,-1.93086163228439,109,-0.0495335238380347,29.8596214844863,1
"ACAM",0.6,3356,-1.91805614779298,105,-0.0496625405413456,25.4407473324738,1
"ACAM",0.6,888,-2.37906320104269,109,-0.062672831989384,28.0162990626105,1
"ACAM",0.6,3165,-1.96796594714779,105,-0.051788393746864,28.5171235699763,1
"ACAM",0.6,219,-2.25485777097808,108,-0.0570911676401845,26.0199296811131,1
"ACAM",0.6,2714,-1.83881543902422,108,-0.0476914567181629,28.0040561370952,1
"ACAM",0.6,1967,-2.07889091941718,104,-0.0547629998316748,28.2262264393796,1
"ACAM",0.6,1345,-2.35691810209823,119,-0.056088097267123,27.1609682950245,1
"ACAM",0.6,1901,-1.99597904607499,117,-0.0471935486437877,29.0413537355514,1
"ACAM",0.6,1833,-2.4208915864865,116,-0.0622909192558544,31.2722807693261,1
"ACAM",0.6,1305,-1.78180460741304,104,-0.0479430901336049,26.4088263991338,1
"ACAM",0.6,3901,-2.4119788717926,116,-0.0613125747866717,29.8013166881431,1
"ACAM",0.6,1506,-2.2138859166348,114,-0.0533717650057227,27.7566957284252,1
"ACAM",0.6,528,-2.43949358900872,113,-0.0640004314667414,26.8716521737835,1
"ACAM",0.6,2467,-2.17827587850456,108,-0.0547222499457689,26.2046907372954,1
"ACAM",0.6,876,-2.0450407159875,116,-0.0493482269910116,31.654531300026,1
"ACAM",0.6,1698,-1.8579767971998,111,-0.0463947627127169,26.8363454405302,1
"ACAM",0.6,2301,-2.03516096676921,107,-0.051751704649843,26.8798731247247,1
"ACAM",0.6,1469,-2.21551786534691,113,-0.0531056079935099,25.4441402031856,1
"ACAM",0.6,1862,-2.29999187380984,109,-0.0584720927901805,26.7254422032277,1
"ACAM",0.6,446,-1.82923908344316,109,-0.0478399512204761,30.5026593138356,1
"ACAM",0.6,3389,-2.14332956754939,104,-0.0564918153955466,28.2005519845821,1
"ACAM",0.6,3568,-2.34845632401059,114,-0.05817999555116,27.3006906100562,1
"ACAM",0.6,1816,-1.90513722360147,103,-0.0502582567720894,25.0842104346908,1
"ACAM",0.6,1828,-2.19676026375803,108,-0.0562673084289976,29.2418465269497,1
"ACAM",0.6,1848,-2.41578138802811,115,-0.0624927851539513,31.2243472538069,1
"ACAM",0.6,1422,-1.99612929947182,114,-0.0483232705966007,28.7736552819638,1
"ACAM",0.6,2192,-2.41857730177053,115,-0.0613994666156764,26.8702277260822,1
"ACAM",0.6,256,-2.31108874473233,106,-0.0614697164032828,29.2889538601718,1
"ACAM",0.6,3918,-1.71083973586917,107,-0.0463375452121611,29.2858792376071,1
"ACAM",0.6,2671,-2.35621795895148,115,-0.0578614929104904,26.7302369489577,1
"ACAM",0.6,2944,-1.87660263203738,107,-0.0491767999926324,28.9921648417098,1
"ACAM",0.6,3069,-1.94181773683562,112,-0.0478278979657457,27.7338421008474,1
"ACAM",0.6,892,-2.37466756878059,110,-0.0619037128419711,28.132513972511,1
"ACAM",0.6,175,-2.01493786394112,107,-0.0517321108416265,28.1619081122924,1
