unique.ID,block,water,microbe,rep,bkgrd,focal,ACAM,BRHO
1,30,0.5,0,1,ACAM,BRHO,0,3
2,37,0.5,0,1,ACAM,BRHO,3,3
3,34,0.5,0,1,ACAM,BRHO,6,3
4,26,0.5,0,1,ACAM,BRHO,12,3
5,37,0.5,0,1,ACAM,BRHO,18,3
6,20,0.5,0,1,ACAM,BRHO,24,3
7,6,0.5,0,1,ACAM,BRHO,36,3
8,44,0.5,0,1,ACAM,BRHO,48,3
9,42,0.5,0,1,ACAM,BRHO,60,3
10,17,0.5,0,1,ACAM,BRHO,84,3
11,12,0.75,0,1,ACAM,BRHO,0,3
12,40,0.75,0,1,ACAM,BRHO,3,3
13,17,0.75,0,1,ACAM,BRHO,6,3
14,39,0.75,0,1,ACAM,BRHO,12,3
15,30,0.75,0,1,ACAM,BRHO,18,3
16,10,0.75,0,1,ACAM,BRHO,24,3
17,21,0.75,0,1,ACAM,BRHO,36,3
18,3,0.75,0,1,ACAM,BRHO,48,3
19,41,0.75,0,1,ACAM,BRHO,60,3
20,33,0.75,0,1,ACAM,BRHO,84,3
21,30,1,0,1,ACAM,BRHO,0,3
22,17,1,0,1,ACAM,BRHO,3,3
23,15,1,0,1,ACAM,BRHO,6,3
24,5,1,0,1,ACAM,BRHO,12,3
25,9,1,0,1,ACAM,BRHO,18,3
26,23,1,0,1,ACAM,BRHO,24,3
27,35,1,0,1,ACAM,BRHO,36,3
28,45,1,0,1,ACAM,BRHO,48,3
29,20,1,0,1,ACAM,BRHO,60,3
30,34,1,0,1,ACAM,BRHO,84,3
31,33,0.5,0,2,ACAM,BRHO,0,3
32,21,0.5,0,2,ACAM,BRHO,3,3
33,45,0.5,0,2,ACAM,BRHO,6,3
34,18,0.5,0,2,ACAM,BRHO,12,3
35,1,0.5,0,2,ACAM,BRHO,18,3
36,36,0.5,0,2,ACAM,BRHO,24,3
37,10,0.5,0,2,ACAM,BRHO,36,3
38,31,0.5,0,2,ACAM,BRHO,48,3
39,16,0.5,0,2,ACAM,BRHO,60,3
40,43,0.5,0,2,ACAM,BRHO,84,3
41,9,0.75,0,2,ACAM,BRHO,0,3
42,28,0.75,0,2,ACAM,BRHO,3,3
43,20,0.75,0,2,ACAM,BRHO,6,3
44,25,0.75,0,2,ACAM,BRHO,12,3
45,38,0.75,0,2,ACAM,BRHO,18,3
46,29,0.75,0,2,ACAM,BRHO,24,3
47,23,0.75,0,2,ACAM,BRHO,36,3
48,22,0.75,0,2,ACAM,BRHO,48,3
49,26,0.75,0,2,ACAM,BRHO,60,3
50,42,0.75,0,2,ACAM,BRHO,84,3
51,26,1,0,2,ACAM,BRHO,0,3
52,8,1,0,2,ACAM,BRHO,3,3
53,23,1,0,2,ACAM,BRHO,6,3
54,11,1,0,2,ACAM,BRHO,12,3
55,3,1,0,2,ACAM,BRHO,18,3
56,33,1,0,2,ACAM,BRHO,24,3
57,29,1,0,2,ACAM,BRHO,36,3
58,42,1,0,2,ACAM,BRHO,48,3
59,29,1,0,2,ACAM,BRHO,60,3
60,21,1,0,2,ACAM,BRHO,84,3
61,6,0.5,0,3,ACAM,BRHO,0,3
62,45,0.5,0,3,ACAM,BRHO,3,3
63,7,0.5,0,3,ACAM,BRHO,6,3
64,34,0.5,0,3,ACAM,BRHO,12,3
65,43,0.5,0,3,ACAM,BRHO,18,3
66,12,0.5,0,3,ACAM,BRHO,24,3
67,33,0.5,0,3,ACAM,BRHO,36,3
68,35,0.5,0,3,ACAM,BRHO,48,3
69,45,0.5,0,3,ACAM,BRHO,60,3
70,37,0.5,0,3,ACAM,BRHO,84,3
71,8,0.75,0,3,ACAM,BRHO,0,3
72,10,0.75,0,3,ACAM,BRHO,3,3
73,43,0.75,0,3,ACAM,BRHO,6,3
74,32,0.75,0,3,ACAM,BRHO,12,3
75,5,0.75,0,3,ACAM,BRHO,18,3
76,25,0.75,0,3,ACAM,BRHO,24,3
77,26,0.75,0,3,ACAM,BRHO,36,3
78,14,0.75,0,3,ACAM,BRHO,48,3
79,32,0.75,0,3,ACAM,BRHO,60,3
80,38,0.75,0,3,ACAM,BRHO,84,3
81,6,1,0,3,ACAM,BRHO,0,3
82,35,1,0,3,ACAM,BRHO,3,3
83,32,1,0,3,ACAM,BRHO,6,3
84,36,1,0,3,ACAM,BRHO,12,3
85,41,1,0,3,ACAM,BRHO,18,3
86,16,1,0,3,ACAM,BRHO,24,3
87,15,1,0,3,ACAM,BRHO,36,3
88,36,1,0,3,ACAM,BRHO,48,3
89,28,1,0,3,ACAM,BRHO,60,3
90,12,1,0,3,ACAM,BRHO,84,3
91,38,0.5,0,4,ACAM,BRHO,0,3
92,42,0.5,0,4,ACAM,BRHO,3,3
93,9,0.5,0,4,ACAM,BRHO,6,3
94,6,0.5,0,4,ACAM,BRHO,12,3
95,44,0.5,0,4,ACAM,BRHO,18,3
96,2,0.5,0,4,ACAM,BRHO,24,3
97,31,0.5,0,4,ACAM,BRHO,36,3
98,5,0.5,0,4,ACAM,BRHO,48,3
99,30,0.5,0,4,ACAM,BRHO,60,3
100,8,0.5,0,4,ACAM,BRHO,84,3
101,8,0.75,0,4,ACAM,BRHO,0,3
102,9,0.75,0,4,ACAM,BRHO,3,3
103,25,0.75,0,4,ACAM,BRHO,6,3
104,26,0.75,0,4,ACAM,BRHO,12,3
105,24,0.75,0,4,ACAM,BRHO,18,3
106,3,0.75,0,4,ACAM,BRHO,24,3
107,37,0.75,0,4,ACAM,BRHO,36,3
108,4,0.75,0,4,ACAM,BRHO,48,3
