unique.ID,root.sp.ID,block,water,microbe,rep,bkgrd,focal,ACAM_density,BRHO,num.focal.indiv,date,sample.collected,num.bg.indiv,num.resprouted.BRHO.focals,notes,partial.collection.date2,partial.completed,focal.DC,bkgrd.DC,issues,root.sample.species,date.root.prep,date.stained,date.AMF.quantified,staining.notes
1,B,28,0.6,0,1,ACAM,BRHO,0,focal,2,5/23/2024,X,0,,,,,,,,BRHO,,,,
4,B,27,0.6,0,1,ACAM,BRHO,12,focal,2,5/13/2024,X,14,,,,,X,X,,BRHO,,,,
6,B,4,0.6,0,1,ACAM,BRHO,24,focal,2,5/11/2024,X,18,,,,,X,X,,BRHO,,,,
21,B,29,1,0,1,ACAM,BRHO,0,focal,2,5/30/2024,X,NA,,,,,,,,BRHO,6/24/24,06/25/24,,
24,B,1,1,0,1,ACAM,BRHO,12,focal,2,5/20/2024,2 OF 2 X,10,,PARTIAL COLLECTION,5/30/2024,X,,,,BRHO,06/24/24,06/25/24,,
26,B,19,1,0,1,ACAM,BRHO,24,focal,2,5/17/2024,2 OF 2 X,17,,PARTIAL COLLECTION,5/23/24,X,X,X,,BRHO,6/27/24,6/28/24,,
31,B,30,0.6,0,2,ACAM,BRHO,0,focal,2,5/20/2024,X,NA,1,,,,X,,,BRHO,,,,
34,B,4,0.6,0,2,ACAM,BRHO,12,focal,2,5/13/2024,X,11,,,,,X,X,,BRHO,06/03/24,,,
36,B,22,0.6,0,2,ACAM,BRHO,24,focal,2,5/29/2024,2 OF 2 X,18,,PARTIAL COLLECTION,5/30/2024,X,,,,BRHO,6/24/24,06/25/24,,
51,B,27,1,0,2,ACAM,BRHO,0,focal,2,5/12/2024,2 OF 2 X,NA,,PARTIAL COLLECTION,05/27/24,X,X,NA,,BRHO,6/24/24,06/25/24,06/28/24-7/01/24,
54,B,11,1,0,2,ACAM,BRHO,12,focal,2,5/10/2024,X,8,,,,,X,X,,BRHO,6/24/24,06/25/24,,
56,B,30,1,0,2,ACAM,BRHO,24,focal,2,05/17/24,x,17,0,,,,X,X,,BRHO,,,,
