Unique ID,Block,Background,Focal,3_Day_Sampled,#_BRHO_including focal,#_ACAM,Focal_Height,Focal_Biomass,Date,Relative Position,NOTES,2_week_Sampled,#_BRHO_including focal,#_ACAM,Focal_Height,Focal_Biomass,Date,Relative Position,NOTES,1 month sample,#_BRHO_including focal,#_ACAM,Focal_Height,Focal_Biomass,Date,Relative Position,NOTES,CW.NOTES,2 month sample,#_BRHO_including focal,#_ACAM,Focal_Biomass,Date,Relative Position,NOTES
253,5,ACAM,BRHO,X,9,2,1.5,0.000335,1/21,"q2, top left",,x,10,4,,0.00245,2/1,q3,,x,7,3,,0.00607,2/15,q4,,SAVE WHITE/PINK & WHITE/BLUE INDIV FOR CW; 2 OTHER BLUE FOR JA,X,3,3,0.174,3/14,q1,
356,5,BRHO,ACAM,X,58,6,,0.007969,1/23/24,,,x,5,52,,0.00782,2/3,q1,,x,55,4,,0.03065,2/15,q4,,SAVE RED/GOLD FOR CARMEN; OTHER RED FOR JA,X,54,3,0.04,3/13,q1,
162,6,ACAM,BRHO,X,8,2,1.7,0.000469,1/21,"q2, bottom left",,,9,2,,0.00174,2/1,q1,,x,7,2,,0.01362,2/16,q2,,SAVE PINK/WHITE FOR CW; OTHER 2 WHITE FOR JA,X,3,2,0.225,3/13,q1,
164,8,ACAM,BRHO,X,7,3,1,0.000238,1/21,q4 bottom right,,x,9,7,,0.00301,2/1,q4,,x,8,7,,0.01281,2/15,q2,,SAVE TEAL/GOLD FOR CW; GREEN FOR JA,X,3,6,0.295,3/17,q2,
225,8,ACAM,BRHO,X,7,3,1.1,0.000253,1/21,"q2, top right",,x,7,10,,0.00178,2/1,q2,,x,6,9,,0.01804,2/15,q1,,SAVE GOLD/PURPLE & GOLD/BLUE FOR CW; RED FOR JA,X,3,8,0.203,3/18,q2,
167,8,ACAM,BRHO,X,6,6,,0.000231,1/21,"teal, q4",,x,6,27,,0.0028,2/1,q1,,x,5,28,,0.01515,2/15,,,SAVE WHITE/TEAL & WHITE/YELLOW FOR CW; YELLOW & RED FOR JA,X,3,19,0.294,3/16,Q4,
329,8,BRHO,ACAM,,0,3,,,,,MISSED 3 DAY,x,0,4,,0.01189,2/1,q1,,,,,,,,,not enough focal,SAVE GREEN & GOLD FOR CW,,,,,,,
307,8,BRHO,ACAM,X,25,4,,0.006045,1/26,,,,,,,,,,NOT ENOUGH FOCAL,,,,,,,,,SAVE RED & TEAL/BLUE FOR CW; GOLD FOR JA,X,19,3,0.044,3/16,Q2,
259,13,ACAM,BRHO,X,5,12,,0.000393,2/2,q2,,x,6,37,,0.00289,2/15,q3,"Sample thursday 2/15, red",x,4,26,,,3/3,q2,,SAVE WHITE/RED & WHITE/GOLD FOR CW; OTHER 2 GOLD & 1 PINK FOR JA,X,3,23,0.175,3/16,q4,
163,13,ACAM,BRHO,X,7,2,1.8,0.000503,1/21,"q3, top left",,x,7,2,,0.00207,2/1,q4,,x,5,2,,0.01214,2/15,q2,"check, most germinated 1/18",SAVE RED/BLUE INDIV FOR CW; OTHER 2 BLUE FOR JA,X,3,2,0.214,3/13,q3,
