"focal","water","post_num","igr","dens"
"ACAM",0.6,1422,-1.98734384771618,103.237886662555
"ACAM",0.6,1017,-1.87983836654312,103.636969235922
"ACAM",0.6,4775,-1.45743764563736,114.841274508208
"ACAM",0.6,2177,-1.49653124420408,89.1805445233235
"ACAM",0.6,5026,-2.23037951293866,117.010937292896
"ACAM",0.6,1533,-1.98946057846368,104.034408889443
"ACAM",0.6,4567,-2.19753519556868,99.9211810551173
"ACAM",0.6,2347,-2.03808932228902,122.681719554045
"ACAM",0.6,270,-1.28200411184385,92.0380193139069
"ACAM",0.6,4050,-1.98387293925192,105.446379286396
"ACAM",0.6,5307,-1.38796787211311,99.3940243572473
"ACAM",0.6,3379,-1.72476234546782,98.3037914753301
"ACAM",0.6,4065,-1.97375322981075,114.033681909188
"ACAM",0.6,597,-2.42658486416645,118.681849232721
"ACAM",0.6,1301,-2.25168947760064,100.611660056989
"ACAM",0.6,6070,-2.22616876708248,104.145062063831
"ACAM",0.6,330,-2.1809094241707,96.0368806814523
"ACAM",0.6,1799,-2.14409108535261,104.814493064122
"ACAM",0.6,3913,-2.10670435620281,99.7583589705524
"ACAM",0.6,5711,-2.34196075499219,126.887192151145
"ACAM",0.6,1749,-2.23610769397741,101.699817074762
"ACAM",0.6,37,-2.09422228464838,113.192823466858
"ACAM",0.6,1129,-1.8442701773948,116.984804635378
"ACAM",0.6,729,-1.94033432921965,104.338043816558
"ACAM",0.6,878,-1.27113176141948,93.5480710281219
"ACAM",0.6,485,-2.33239061100113,113.185156847191
"ACAM",0.6,5922,-2.33857152143396,107.383832681059
"ACAM",0.6,6526,-1.85436982786921,96.4562183931963
"ACAM",0.6,4012,-0.879157558481533,104.510414707599
"ACAM",0.6,5071,-1.53618195780758,107.979376437624
"ACAM",0.6,2849,-2.14446724035477,105.735649871978
"ACAM",0.6,2900,-2.06058395323788,98.2256586852702
"ACAM",0.6,6470,-2.11742714200207,104.524618046305
"ACAM",0.6,2378,-2.1504383796516,105.8793048288
