"focal","water","post_num","igr"
"ACAM",0.6,1422,-1.85499283859975
"ACAM",0.6,1017,-2.29225360512432
"ACAM",0.6,3908,-2.23878385640602
"ACAM",0.6,679,-2.4000337405359
"ACAM",0.6,2177,-2.39053944373946
"ACAM",0.6,930,-2.29739060132703
"ACAM",0.6,1533,-1.86206713001539
"ACAM",0.6,471,-2.28427622744372
"ACAM",0.6,2347,-2.3859331745509
"ACAM",0.6,270,-1.29548411526215
"ACAM",0.6,1211,-1.81448645324151
"ACAM",0.6,3379,-2.53132603428262
"ACAM",0.6,597,-2.19911248844091
"ACAM",0.6,1301,-2.13938532677641
"ACAM",0.6,3946,-2.27102037379776
"ACAM",0.6,1974,-1.6511885883128
"ACAM",0.6,3566,-1.09310837667537
"ACAM",0.6,330,-2.02642252434273
"ACAM",0.6,1799,-1.8841979500366
"ACAM",0.6,3913,-2.21248021899608
"ACAM",0.6,1615,-1.89280972205473
"ACAM",0.6,1749,-2.42696442795454
"ACAM",0.6,37,-2.2954823865969
"ACAM",0.6,1129,-1.78435927880747
"ACAM",0.6,729,-2.3099341697153
"ACAM",0.6,878,-2.38441468725249
"ACAM",0.6,485,-2.10809150748518
"ACAM",0.6,3749,-1.65775850555138
"ACAM",0.6,1826,-2.49826935130029
"ACAM",0.6,2922,-2.24792745654268
"ACAM",0.6,2430,-2.23672450748518
"ACAM",0.6,3673,-2.10566763422015
"ACAM",0.6,975,-1.57593393914207
"ACAM",0.6,2849,-2.21782456390671
"ACAM",0.6,2900,-2.20754588383831
"ACAM",0.6,2979,-2.06244831357775
"ACAM",0.6,2374,-1.77832518893295
"ACAM",0.6,2378,-1.12156968492667
"ACAM",0.6,554,-2.47505809829275
"ACAM",0.6,1446,-2.08737024492609
"ACAM",0.6,2159,-2.15533265446194
"ACAM",0.6,3476,-2.53310618552028
"ACAM",0.6,1948,-1.95742988258241
"ACAM",0.6,2580,-1.79385324592428
"ACAM",0.6,1530,-2.30325551216439
"ACAM",0.6,2604,-1.99180009162497
"ACAM",0.6,2937,-2.33607157411348
"ACAM",0.6,343,-2.21971426982231
"ACAM",0.6,2630,-2.45582687965517
"ACAM",0.6,3193,-2.07987145170508
"ACAM",0.6,40,-2.37524786876311
"ACAM",0.6,3756,-1.95042984426963
"ACAM",0.6,537,-1.90929142408568
"ACAM",0.6,2423,-1.85909057593322
"ACAM",0.6,248,-2.35234180632546
"ACAM",0.6,1222,-2.45482716436888
"ACAM",0.6,2426,-2.3622332393928
"ACAM",0.6,2087,-2.40312964091116
"ACAM",0.6,2483,-2.46690277072813
"ACAM",0.6,2858,-2.50241046275627
"ACAM",0.6,1414,-2.28161800982078
"ACAM",0.6,1304,-2.45536363644726
"ACAM",0.6,1696,-2.12121484344352
"ACAM",0.6,526,-2.45264316486718
"ACAM",0.6,2690,-2.23530583285668
"ACAM",0.6,1069,-1.87288426960689
"ACAM",0.6,1426,-2.23953625895531
"ACAM",0.6,22,-2.44127943989599
"ACAM",0.6,1742,-2.29218383458637
"ACAM",0.6,1766,-2.03992795700858
"ACAM",0.6,2241,-2.22787230974211
"ACAM",0.6,1395,-2.19069159014582
"ACAM",0.6,2547,-2.42303635818051
"ACAM",0.6,1128,-2.28003049249765
"ACAM",0.6,3398,-2.09703625986787
"ACAM",0.6,983,-2.40150446614805
"ACAM",0.6,1791,-2.08152973547038
"ACAM",0.6,1516,-2.3507443075827
"ACAM",0.6,3910,-2.34137815142519
"ACAM",0.6,1640,-2.12131704160654
"ACAM",0.6,1639,-1.36774925822543
