SIRFER EA-IRMS-CN,,,,,,,
Job # 24-194,,,Tray 1,Analyst:,,Suvankar Chakraborty,
Primary reference 1 (PLRM-1):  ,,UU-CN-1,,Primary reference 2 (PLRM-2): ,,UU-CN-2,
Secondary reference (SLRM): ,,Spinach,,Wt% standard:,,UU-CN-2,
Date analyzed:,,5/30/2024,,,,,
SIRFER #,Original ID,Sample wt (mg),δ15NAIR (‰),δ13CVPDB (‰),Wt% N,Wt% C,C/N
,261,1.425,5.5,-30.1,2.1,41.9,20.0
,231,1.468,5.5,-31.0,2.9,45.2,15.5
,238,1.430,3.3,-34.0,0.8,42.9,51.8
,154,1.557,1.3,-29.8,2.0,44.8,22.2
,218,1.470,4.4,-27.4,1.8,46.2,26.0
,208,1.488,5.6,-31.9,2.5,40.2,16.2
,264,1.471,7.3,-30.3,2.5,45.0,18.1
,278,1.418,7.9,-28.2,2.3,42.5,18.6
,188,1.462,7.1,-28.5,1.7,42.4,25.5
,176,1.537,6.6,-32.2,1.9,37.3,19.3
,186,1.489,7.2,-29.9,2.2,42.6,19.2
,276,1.447,7.7,-29.4,2.7,44.0,16.2
,178,1.458,5.7,-31.7,2.2,36.9,16.6
,181,1.598,2.7,-31.2,2.0,41.3,20.5
,241,1.560,4.7,-30.8,3.1,44.4,14.4
,266,1.571,6.8,-30.6,2.6,41.3,16.1
,206,1.541,6.3,-30.9,2.0,40.7,20.4
,234,1.481,6.3,-30.6,2.1,39.4,18.8
,151,1.529,6.6,-30.6,3.3,42.2,12.8
,298,1.541,6.0,-30.2,2.0,40.2,19.7
,216,1.590,6.1,-28.3,2.0,39.8,19.9
,274,1.468,4.7,-31.7,3.5,45.1,13.0
,171,1.516,6.3,-31.2,2.3,40.3,17.8
,161-56,1.452,3.8,-33.2,4.0,43.6,10.9
,162-56,1.575,6.1,-31.0,2.0,42.8,21.0
,163-56,1.552,6.6,-30.6,2.3,38.9,17.0
,164-56,1.575,5.2,-30.3,2.2,43.9,20.1
,165-56,1.523,8.0,-30.5,2.5,41.6,16.7
,166-56,1.496,3.5,-30.3,3.0,43.9,14.7
,167-56,1.565,5.6,-29.8,2.7,43.7,16.2
,168-56,1.446,4.7,-30.3,2.9,39.6,13.5
,169-56,1.525,5.9,-29.6,2.4,43.8,18.0
Quality Assurance,,,,,,,
,Sample ID,Sample wt (mg),δ15NAIR (‰),δ13CVPDB (‰),Wt% N,Wt% C,C/N
PLRM-1,UU-CN-1,0.4,49.5,24.0,10.9,45.1,4.1
