"focal","water","post_num","igr","equil","alpha_inter","microbe"
"ACAM",0.6,1144,-2.16384126627214,107,-0.0563225555617527,1
"ACAM",0.6,849,-2.07187188745772,106,-0.0539294087294781,1
"ACAM",0.6,2730,-2.31141218031291,110,-0.0584564042814393,1
"ACAM",0.6,2585,-2.32138859971813,105,-0.0622989334691708,1
"ACAM",0.6,1897,-2.44920323829543,118,-0.0625858244910199,1
"ACAM",0.6,123,-1.71121486473399,107,-0.0461801378128133,1
"ACAM",0.6,2868,-2.29273691903115,119,-0.0545816763916933,1
"ACAM",0.6,480,-2.28502121409221,118,-0.0535266056937125,1
"ACAM",0.6,100,-2.27884487096257,112,-0.0567683185678612,1
"ACAM",0.6,1794,-2.27444303768804,114,-0.0549155824224902,1
"ACAM",0.6,2261,-2.24748528476423,110,-0.0569677854470628,1
"ACAM",0.6,2436,-1.80600557365285,111,-0.0465414995912596,1
"ACAM",0.6,924,-2.24082582069846,113,-0.0555895301112801,1
"ACAM",0.6,2601,-2.10237550612489,115,-0.0502560265004805,1
"ACAM",0.6,981,-2.11118675495501,118,-0.0487663975368897,1
"ACAM",0.6,1096,-2.36969196267176,112,-0.0596973409046126,1
"ACAM",0.6,944,-2.31100816888214,111,-0.0588029820774719,1
"ACAM",0.6,1234,-2.3629614241091,114,-0.0597798219950093,1
"ACAM",0.6,1095,-2.00259107779238,105,-0.0521640327771289,1
"ACAM",0.6,1551,-1.71254814124012,104,-0.0476108127773655,1
"ACAM",0.6,1227,-2.18566219470842,110,-0.0552764418927547,1
"ACAM",0.6,2182,-2.05748612988101,119,-0.0477332781625838,1
"ACAM",0.6,1175,-1.79469012209943,105,-0.047965555763124,1
"ACAM",0.6,190,-1.81278964103091,106,-0.0479095728071008,1
"ACAM",0.6,2199,-2.12326046669418,111,-0.0521237318813777,1
"ACAM",0.6,1240,-2.11248233420121,106,-0.0549713794271498,1
"ACAM",0.6,639,-2.27420070816548,109,-0.0569959874726147,1
"ACAM",0.6,2065,-2.3219020351819,116,-0.0566299652647173,1
"ACAM",0.6,920,-2.22499911541199,113,-0.0542605294180453,1
"ACAM",0.6,2234,-2.30088390854599,115,-0.0551176336743561,1
"ACAM",0.6,166,-2.20128391737401,105,-0.0583466414930572,1
"ACAM",0.6,5,-1.92735894259044,108,-0.0485378672431264,1
