"focal","water","post_num","igr","dens","alpha_inter","microbe"
"ACAM",0.6,773,-2.43323943562624,118,-0.0617185379949365,1
"ACAM",0.6,2726,-2.28854715920059,112,-0.0562346268307664,1
"ACAM",0.6,2555,-2.28724011166184,116,-0.0536041254796885,1
"ACAM",0.6,108,-2.13883701315516,117,-0.0496617171393453,1
"ACAM",0.6,2875,-2.29144057453218,110,-0.0579170393750909,1
"ACAM",0.6,444,-2.43887827672504,118,-0.0617091332727225,1
"ACAM",0.6,3729,-2.05063117296225,107,-0.0518799027123431,1
"ACAM",0.6,1741,-2.09887895968152,112,-0.0513351425624873,1
"ACAM",0.6,2396,-1.8615498407734,109,-0.0480872516363936,1
"ACAM",0.6,3039,-1.98686173954387,104,-0.0522875466869774,1
"ACAM",0.6,862,-2.29550559671399,104,-0.0616385820048222,1
"ACAM",0.6,2566,-2.33758663555435,113,-0.0592437263944057,1
"ACAM",0.6,1518,-2.16151012866157,106,-0.0557051042939586,1
"ACAM",0.6,3501,-2.01160967056074,118,-0.0457019024442429,1
"ACAM",0.6,3399,-1.92614732423095,102,-0.0531827328936513,1
"ACAM",0.6,1131,-2.22191175922333,119,-0.0515784101473303,1
"ACAM",0.6,3539,-1.62917478306282,104,-0.0460035569942685,1
"ACAM",0.6,3823,-2.27875505376461,113,-0.0551714666495353,1
"ACAM",0.6,1184,-2.38740338554868,119,-0.0567111848471296,1
"ACAM",0.6,2210,-2.12083114644034,114,-0.0511000598844006,1
"ACAM",0.6,3353,-2.22356968435109,106,-0.0571260111099571,1
"ACAM",0.6,146,-1.84101593748831,114,-0.0443214423274036,1
"ACAM",0.6,3631,-2.08958226808316,109,-0.0527641515178478,1
"ACAM",0.6,2734,-2.12374246180907,105,-0.055078662817269,1
"ACAM",0.6,207,-2.27888650697988,115,-0.0548470591553387,1
"ACAM",0.6,469,-2.42145574466182,116,-0.0617153653251099,1
"ACAM",0.6,2319,-2.11464126402814,120,-0.0483958238757006,1
"ACAM",0.6,3433,-1.62069608245365,106,-0.0447836258657218,1
"ACAM",0.6,1090,-2.11380062933085,104,-0.056269172261799,1
"ACAM",0.6,436,-1.96934629778984,107,-0.050145044628282,1
"ACAM",0.6,3153,-1.93293210377574,115,-0.0454077302082499,1
"ACAM",0.6,16,-1.87102682439264,108,-0.0474577331936185,1
"ACAM",0.6,850,-2.2491305866568,111,-0.0560143657915443,1
"ACAM",0.6,3180,-2.10917693878044,107,-0.0533470911055488,1
"ACAM",0.6,2272,-1.763724976436,104,-0.0477400090542298,1
"ACAM",0.6,3932,-2.45110531226415,117,-0.0632113596476418,1
"ACAM",0.6,1438,-2.04258341465681,107,-0.0517416248391383,1
"ACAM",0.6,1423,-1.8511947675412,115,-0.0452999703938652,1
"ACAM",0.6,3278,-2.0381796092448,115,-0.047488694568371,1
"ACAM",0.6,3052,-2.28347577976912,110,-0.0582376873287917,1
"ACAM",0.6,1603,-2.30222435475687,111,-0.0575849062905851,1
"ACAM",0.6,3784,-2.01145171712906,112,-0.0490116605980375,1
"ACAM",0.6,2478,-2.17686900025963,106,-0.0555309803768946,1
"ACAM",0.6,1609,-2.22721020958103,105,-0.058592810226709,1
"ACAM",0.6,2457,-2.28123429115409,105,-0.0606835006436073,1
"ACAM",0.6,3990,-2.21074065264949,102,-0.0589426218676943,1
"ACAM",0.6,1047,-2.29714350816603,105,-0.0599765755667369,1
"ACAM",0.6,2132,-1.61395394381202,104,-0.0452237400620324,1
"ACAM",0.6,1436,-2.22613733998637,110,-0.0551909745190442,1
"ACAM",0.6,3300,-2.24548535622671,105,-0.0585082076836439,1
"ACAM",0.6,3018,-2.21093887954496,103,-0.0593692275153084,1
"ACAM",0.6,3242,-2.40380941735816,112,-0.0630914325715375,1
"ACAM",0.6,3042,-2.32802000602374,113,-0.0579830851441862,1
"ACAM",0.6,2073,-2.24563088057603,112,-0.0555367910515867,1
"ACAM",0.6,2480,-2.23896676486985,108,-0.0565788912858381,1
"ACAM",0.6,3754,-2.18949274678521,120,-0.0491811553813993,1
"ACAM",0.6,3697,-2.19000590654928,105,-0.0573736520034255,1
"ACAM",0.6,1188,-2.12999195148857,108,-0.0533832409321227,1
"ACAM",0.6,3306,-2.13205813464239,109,-0.0529243406657123,1
"ACAM",0.6,2359,-1.73742109684443,109,-0.0454779036137286,1
"ACAM",0.6,1488,-2.18518608036323,106,-0.0565786475685015,1
"ACAM",0.6,2108,-2.41077736694094,111,-0.0635856238630803,1
"ACAM",0.6,1183,-1.96450681324136,103,-0.0520381595163011,1
"ACAM",0.6,348,-2.38118407065555,120,-0.0571231964902748,1
"ACAM",0.6,76,-1.89119758792407,107,-0.0494251270490092,1
"ACAM",0.6,2502,-2.33402039160942,107,-0.0616567886966629,1
"ACAM",0.6,39,-2.07182882420215,107,-0.0530907545215313,1
"ACAM",0.6,3587,-2.16691978818335,109,-0.0547055280537569,1
"ACAM",0.6,3440,-2.36735286226698,115,-0.0594537310508272,1
"ACAM",0.6,2912,-1.70694490794547,102,-0.048924576643591,1
"ACAM",0.6,783,-1.78892233034332,102,-0.0491988299516866,1
"ACAM",0.6,1479,-2.17312604856087,105,-0.055790014186246,1
"ACAM",0.6,663,-2.32065946517435,117,-0.0550313946164824,1
"ACAM",0.6,736,-2.07648106020251,112,-0.0502486842355444,1
"ACAM",0.6,1878,-1.97974169269338,108,-0.0502607681840225,1
"ACAM",0.6,1025,-2.35716780224822,117,-0.0574328727326175,1
"ACAM",0.6,2620,-1.91580608549092,106,-0.0501602924221204,1
"ACAM",0.6,1066,-2.06445171055351,118,-0.0477229557469713,1
"ACAM",0.6,669,-2.23072554542995,107,-0.056877146985225,1
"ACAM",0.6,3621,-2.2222187828451,117,-0.0529442957001815,1
"ACAM",0.6,3422,-2.08073293433447,114,-0.049407779588354,1
"ACAM",0.6,3122,-2.05642371538712,104,-0.0532800649575252,1
"ACAM",0.6,124,-1.90112041383251,110,-0.0487380684754536,1
"ACAM",0.6,2270,-2.05595542648053,111,-0.0497629606752037,1
"ACAM",0.6,3432,-2.41721599978025,118,-0.0594116470706316,1
"ACAM",0.6,817,-2.03391387213385,115,-0.048130534628511,1
"ACAM",0.6,3221,-2.43505045011849,116,-0.0627489894360687,1
"ACAM",0.6,192,-2.18871468850245,110,-0.0549244573819088,1
"ACAM",0.6,2727,-2.42757100588697,114,-0.0623112046957993,1
"ACAM",0.6,1968,-1.76724666783491,106,-0.0465641231582739,1
"ACAM",0.6,1312,-2.19749920615806,108,-0.0560715224780531,1
"ACAM",0.6,1889,-2.25784618723341,117,-0.0535643490686732,1
"ACAM",0.6,1829,-2.29883696018647,116,-0.0542611365203896,1
"ACAM",0.6,1264,-2.43537647075949,117,-0.0618064748873356,1
"ACAM",0.6,3909,-2.28653893903251,110,-0.0587289755580296,1
"ACAM",0.6,1495,-2.06770165373266,107,-0.0527245552584923,1
"ACAM",0.6,463,-1.95150949252839,107,-0.04996916259044,1
"ACAM",0.6,2466,-2.39022979872776,109,-0.0634863386901094,1
"ACAM",0.6,789,-2.32419372011031,121,-0.0537347435900205,1
"ACAM",0.6,1677,-1.95152344087092,112,-0.0468613439059391,1
"ACAM",0.6,2285,-2.11558557613836,116,-0.0499718424680667,1
"ACAM",0.6,1458,-2.12986149282239,103,-0.0557588776381274,1
"ACAM",0.6,1855,-2.38642920841451,108,-0.0634644147198999,1
"ACAM",0.6,404,-2.30199906739215,115,-0.0558557971617931,1
"ACAM",0.6,3460,-2.30192439176859,104,-0.0622537895710028,1
"ACAM",0.6,3629,-1.90506616570377,108,-0.0485153245986152,1
"ACAM",0.6,1796,-1.9873069682005,119,-0.0450206854222545,1
"ACAM",0.6,1818,-2.12473347927265,106,-0.0545515787401862,1
"ACAM",0.6,1843,-1.8354052856065,113,-0.0444346803299142,1
"ACAM",0.6,1400,-2.15244532250011,116,-0.0512842484321918,1
"ACAM",0.6,2180,-2.22692153301647,108,-0.056903909766902,1
"ACAM",0.6,229,-2.31613050854629,121,-0.052773614564092,1
"ACAM",0.6,3921,-2.0937512375364,112,-0.0501754747236665,1
"ACAM",0.6,2675,-1.60618354905451,103,-0.0449532984540012,1
"ACAM",0.6,2987,-1.94795536047374,101,-0.0521433981227311,1
"ACAM",0.6,3115,-2.3170377066665,106,-0.0612426082448034,1
"ACAM",0.6,822,-2.41454344187453,120,-0.0581561258114977,1
"ACAM",0.6,149,-1.89125280108495,113,-0.0462387824548122,1
"ACAM",0.6,2126,-2.18175649642168,106,-0.0568872363858784,1
"ACAM",0.6,979,-2.28320974742365,118,-0.0543248770616802,1
"ACAM",0.6,96,-2.05074820435268,105,-0.0531698127318986,1
"ACAM",0.6,1124,-2.19046166209628,109,-0.0548095292162878,1
"ACAM",0.6,699,-2.04956890290352,110,-0.0506275107063066,1
"ACAM",0.6,3594,-2.30504844618138,115,-0.0558113718942567,1
"ACAM",0.6,55,-2.12128171503313,115,-0.0500137125047083,1
"ACAM",0.6,2980,-2.12685802829095,116,-0.0504629533577131,1
"ACAM",0.6,2011,-2.30880347556097,108,-0.0606665936478395,1
"ACAM",0.6,1508,-2.11104267494625,105,-0.055809895021014,1
"ACAM",0.6,2871,-2.34475006291581,111,-0.0592714772463904,1
"ACAM",0.6,1497,-2.36194538884933,118,-0.0574678142993905,1
"ACAM",0.6,1763,-2.28243669482812,110,-0.0584290172894289,1
"ACAM",0.6,2917,-2.01177590958895,117,-0.0460419554274818,1
"ACAM",0.6,2149,-2.2194230233656,106,-0.0573938871745067,1
"ACAM",0.6,690,-2.15781641222669,105,-0.0566497045217475,1
"ACAM",0.6,2427,-1.89439397363507,104,-0.0506947879413209,1
"ACAM",0.6,3899,-1.89101870609334,109,-0.0488995007469169,1
"ACAM",0.6,3552,-2.4179068744294,111,-0.0630019783054142,1
"ACAM",0.6,3254,-1.7427299588183,104,-0.0466494546087473,1
"ACAM",0.6,1129,-1.84743411388791,107,-0.0484310270337185,1
"ACAM",0.6,2858,-1.77434055068037,106,-0.0469462254581111,1
"ACAM",0.6,3649,-2.1549426164593,116,-0.0498997975880204,1
"ACAM",0.6,3791,-2.17061399741837,117,-0.0516553370440577,1
"ACAM",0.6,847,-2.28379775557015,109,-0.0583034785736827,1
"ACAM",0.6,231,-2.15903335228791,104,-0.0568913448101143,1
"ACAM",0.6,2545,-2.17885991994323,116,-0.052252793872188,1
"ACAM",0.6,1072,-2.27182026757435,117,-0.0532177859736021,1
"ACAM",0.6,3917,-2.38512787699933,114,-0.0602411533224796,1
"ACAM",0.6,2526,-2.06243397235273,106,-0.0537435065820738,1
"ACAM",0.6,2945,-2.44120446348068,120,-0.0613464851728711,1
"ACAM",0.6,3723,-2.19524036830809,108,-0.0564804796261172,1
"ACAM",0.6,2443,-1.8343709373493,110,-0.0468018891825392,1
"ACAM",0.6,242,-2.03432660668439,111,-0.0497535676793519,1
"ACAM",0.6,2475,-2.16330338115596,118,-0.0505502709783282,1
"ACAM",0.6,125,-2.30241166788578,117,-0.0556233627835288,1
"ACAM",0.6,1520,-2.23419984638096,119,-0.0505939056243587,1
"ACAM",0.6,2582,-2.17693325293571,111,-0.0532350627796572,1
"ACAM",0.6,2018,-2.25131581866361,111,-0.056133797826052,1
"ACAM",0.6,3439,-2.04843924181337,105,-0.054349721673074,1
"ACAM",0.6,2827,-1.88728616392626,109,-0.0474862766665318,1
"ACAM",0.6,978,-2.36084149868337,110,-0.0616196763425925,1
"ACAM",0.6,368,-1.94102720612558,111,-0.0478736200393996,1
"ACAM",0.6,1331,-1.86127599540668,113,-0.0458017995926454,1
"ACAM",0.6,416,-2.06340108740743,109,-0.0517447055862116,1
"ACAM",0.6,1780,-1.83273925610862,114,-0.0447789199336479,1
"ACAM",0.6,565,-2.15711331091373,112,-0.0533754276068993,1
"ACAM",0.6,3461,-2.175982656027,112,-0.0531356906421717,1
"ACAM",0.6,3658,-2.36887609313912,119,-0.0571480815383743,1
"ACAM",0.6,100,-2.21049327430314,106,-0.0576695731121439,1
"ACAM",0.6,147,-2.40534690421952,117,-0.0592524829238356,1
"ACAM",0.6,1834,-2.13958222535968,104,-0.057015499897733,1
"ACAM",0.6,1157,-1.91985512336007,105,-0.0499365225638118,1
"ACAM",0.6,135,-2.10984957497331,112,-0.0513758436662372,1
"ACAM",0.6,5,-1.91196569778249,103,-0.0514095360254975,1
"ACAM",0.6,3459,-2.353969201214,108,-0.0626842074735783,1
"ACAM",0.6,1387,-2.43341455595181,114,-0.063345905946348,1
"ACAM",0.6,2538,-2.37362229249765,110,-0.0623356086751694,1
"ACAM",0.6,2269,-2.12774302919022,104,-0.0558140974647532,1
"ACAM",0.6,757,-2.28532599715569,102,-0.061635034739906,1
"ACAM",0.6,2699,-2.20960237023085,107,-0.056573494064045,1
"ACAM",0.6,2877,-2.23105293158333,113,-0.0548532908225304,1
"ACAM",0.6,3453,-2.33988544785265,114,-0.0579247232893139,1
"ACAM",0.6,1681,-1.71689216537005,107,-0.0468224060135908,1
"ACAM",0.6,168,-2.29948371015774,116,-0.0550334370560864,1
"ACAM",0.6,1485,-2.32875487625822,111,-0.0583369406206804,1
"ACAM",0.6,2425,-2.32689823108595,109,-0.0602789715607913,1
"ACAM",0.6,586,-1.84803403058361,109,-0.0476843746473516,1
"ACAM",0.6,2682,-2.3050995885283,109,-0.058525385725494,1
"ACAM",0.6,2227,-2.35280437238962,118,-0.0571922402421706,1
"ACAM",0.6,2509,-2.29354231955134,106,-0.0603791802004292,1
"ACAM",0.6,3635,-2.36580586905405,106,-0.0638160243200925,1
"ACAM",0.6,2523,-2.23139998068947,111,-0.0546054156885871,1
"ACAM",0.6,983,-2.24492648844887,108,-0.0571117795033204,1
"ACAM",0.6,2669,-2.35060225087155,119,-0.0554532597720094,1
"ACAM",0.6,392,-2.08079935400533,114,-0.0492055537634674,1
"ACAM",0.6,2422,-2.27678261037701,117,-0.0542543756237955,1
"ACAM",0.6,600,-1.67624484504666,107,-0.0455178429169082,1
"ACAM",0.6,2332,-2.33112009750708,113,-0.0585766594732252,1
"ACAM",0.6,3091,-2.19585815771724,112,-0.0531693690056504,1
"ACAM",0.6,236,-2.11678533478542,111,-0.0522047345192103,1
"ACAM",0.6,3220,-2.00249691539369,115,-0.0480148142629262,1
"ACAM",0.6,3250,-2.32872701531528,111,-0.0586995671932268,1
"ACAM",0.6,1366,-2.35991142741658,106,-0.0638004227765795,1
"ACAM",0.6,1978,-2.22227585903724,111,-0.0547549874537047,1
"ACAM",0.6,3759,-2.18833996746754,105,-0.0565229530224568,1
"ACAM",0.6,314,-2.3346191812421,103,-0.0638059499093932,1
"ACAM",0.6,2274,-1.72296809263685,105,-0.0466467191288137,1
"ACAM",0.6,2129,-2.13247473216945,112,-0.0525039736677442,1
"ACAM",0.6,1250,-2.20991177563005,113,-0.0535426522676098,1
"ACAM",0.6,1003,-2.34750278202934,119,-0.0554622505889072,1
"ACAM",0.6,1814,-2.3910467541658,113,-0.0604989065188384,1
"ACAM",0.6,1065,-2.12871668433975,116,-0.0494476996315702,1
"ACAM",0.6,434,-2.18050304146277,108,-0.0558046763488352,1
"ACAM",0.6,1831,-2.308191262603,112,-0.0566807807937132,1
"ACAM",0.6,1660,-2.30945238319774,104,-0.0622957207129455,1
"ACAM",0.6,65,-1.7407209562586,104,-0.0473524230984112,1
"ACAM",0.6,1955,-2.01813155508631,108,-0.0520670908813567,1
"ACAM",0.6,340,-1.71359893659494,104,-0.0473020355147274,1
"ACAM",0.6,1026,-1.79753953011009,112,-0.0448591687917873,1
"ACAM",0.6,2909,-2.04721313510267,111,-0.0497887601455668,1
"ACAM",0.6,931,-1.54850289279641,106,-0.0443313562023262,1
"ACAM",0.6,423,-2.24846743790727,117,-0.0532413275696966,1
"ACAM",0.6,2484,-2.32955164645553,114,-0.0569355891420123,1
