"","model","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic","water","microbe","model_type","model_date"
"1","model1",0,0,-310.124453973925,5.19680349903576,3.22482385087511,1.10157751290106,620.248907947849,10.3936069980715,1,0,"static",20250110
"2","model2",-0.794159561585518,1.48729853852609,-310.91861353551,4.73266675230231,4.11278925529937,1.30031755851523,621.83722707102,9.46533350460462,1,0,"sigmoidal",20250124
"3","model21",0,0,-474.286838078224,9.58767805975829,5.17129516182372,1.62801176061437,948.573676156448,19.1753561195166,1,1,"sigmoidal",20250124
"4","model11",-2.11413475371516,4.06986233210346,-476.400972831939,7.73317060066073,3.11149226738034,0.735701423174681,952.801945663878,15.4663412013215,1,1,"static",20250110
"5","model12",0,0,-325.138372964102,4.17943491377254,3.04687973587085,0.724069831551274,650.276745928204,8.35886982754508,0.75,0,"static",20250110
"6","model22",-1.11248388140847,0.691819463143843,-326.25085684551,4.17801125606815,3.55007912372459,0.779490469877736,652.501713691021,8.3560225121363,0.75,0,"sigmoidal",20250124
"7","model13",0,0,-491.38995372102,7.32629051705107,3.03216137848747,1.05084602911186,982.77990744204,14.6525810341021,0.75,1,"static",20250110
"8","model23",-0.839114046157558,2.24294790052973,-492.229067767177,8.44354748160972,4.35758855532953,1.33983339982599,984.458135534355,16.8870949632194,0.75,1,"sigmoidal",20250124
"9","model14",0,0,-327.479308028306,12.1664983415765,8.01350491131669,6.19933185759016,654.958616056612,24.3329966831529,0.6,0,"static",20250110
"10","model24",-0.0584193087419198,1.18076822830849,-327.537727337048,12.8256379278616,9.15629801027513,6.84543316881597,655.075454674096,25.6512758557232,0.6,0,"sigmoidal",20250124
"11","model15",0,0,-444.480030980689,7.03901128864889,2.91590964282285,0.500575821428433,888.960061961378,14.0780225772978,0.6,1,"static",20250110
"12","model25",-0.745207126196247,2.21935302385636,-445.225238106885,7.27845132512191,4.25665086770318,0.708256800899185,890.45047621377,14.5569026502438,0.6,1,"sigmoidal",20250124
