unique.ID,block,water,microbe,rep,bkgrd,focal,ACAM,BRHO,BRHO.flowering,date,BRHO.flowering.followup,date.followup,sample.collected,num.living.bg.indiv,num.dead.bg.indiv,num.focal.indiv,date,notes
18,1,0.75,0,1,ACAM,BRHO,48,focal,yes,4/10/24,,,,,,,,
108,1,0.75,0,4,ACAM,BRHO,48,focal,buds,4/10/24,yes,4/15/24,,,,,,
98,1,0.6,0,4,ACAM,BRHO,48,focal,yes,4/10/24,,,,,,,,
75,1,0.75,0,3,ACAM,BRHO,18,focal,yes,4/10/24,,,,,,,,
106,1,0.75,0,4,ACAM,BRHO,24,focal,yes,4/10/24,,,,,,,,
24,1,1,0,1,ACAM,BRHO,12,focal,no,4/10/24,buds,4/15/24,,,,,,
69,1,0.6,0,3,ACAM,BRHO,60,focal,no,4/10/24,no,4/15/24,,,,,,
28,1,1,0,1,ACAM,BRHO,48,focal,yes,4/10/24,,,,,,,,
35,2,0.6,0,2,ACAM,BRHO,18,focal,yes,4/10/24,,,,,,,,
114,2,1,0,4,ACAM,BRHO,12,focal,buds,4/10/24,yes,4/15/24,,,,,,
115,2,1,0,4,ACAM,BRHO,18,focal,no,4/10/24,no,4/15/24,,,,,,
124,2,0.6,0,5,ACAM,BRHO,12,focal,yes,4/10/24,,,,,,,,
55,2,1,0,2,ACAM,BRHO,18,focal,yes,4/10/24,,,,,,,,
96,2,0.6,0,4,ACAM,BRHO,24,focal,yes,4/10/24,,,,,,,,
121,2,0.6,0,5,ACAM,BRHO,0,focal,yes,4/10/24,,,,,,,,
95,2,0.6,0,4,ACAM,BRHO,18,focal,no,4/10/24,yes,4/15/24,,,,,,
23,3,1,0,1,ACAM,BRHO,6,focal,yes,4/10/24,,,,,,,,
87,3,1,0,3,ACAM,BRHO,36,focal,yes,4/10/24,,,,,,,,
39,3,0.6,0,2,ACAM,BRHO,60,focal,yes,4/10/24,,,,,,,,
86,3,1,0,3,ACAM,BRHO,24,focal,yes,4/10/24,,,,,,,,
10,3,0.6,0,1,ACAM,BRHO,84,focal,buds,4/10/24,yes,4/15/24,,,,,,
13,3,0.75,0,1,ACAM,BRHO,6,focal,yes,4/10/24,,,,,,,,
22,3,1,0,1,ACAM,BRHO,3,focal,yes,4/10/24,,,,,,,,
8,3,0.6,0,1,ACAM,BRHO,48,focal,yes,4/10/24,,,,,,,,
34,4,0.6,0,2,ACAM,BRHO,12,focal,yes,4/10/24,,,,,,,,
117,4,1,0,4,ACAM,BRHO,36,focal,yes,4/10/24,,,,,,,,
6,4,0.6,0,1,ACAM,BRHO,24,focal,yes,4/10/24,,,,,,,,
43,4,0.75,0,2,ACAM,BRHO,6,focal,yes,4/10/24,,,,,,,,
146,4,1,0,5,ACAM,BRHO,24,focal,yes,4/10/24,,,,,,,,
92,4,0.6,0,4,ACAM,BRHO,3,focal,yes,4/10/24,,,,,,,,
58,4,1,0,2,ACAM,BRHO,48,focal,yes,4/10/24,,,,,,,,
40,4,0.6,0,2,ACAM,BRHO,84,focal,yes,4/10/24,,,,,,,,
253,5,0.75,1,4,ACAM,BRHO,6,focal,yes,4/10/24,,,,,,,,
181,5,0.6,1,2,ACAM,BRHO,0,focal,yes,4/10/24,,,,,,,,
217,5,0.6,1,3,ACAM,BRHO,36,focal,yes,4/10/24,,,,,,,,
356,5,0.75,1,5,BRHO,ACAM,focal,48,yes,4/10/24,,,,,,,,
324,5,1,1,2,BRHO,ACAM,focal,48,yes,4/10/24,,,,,,,,
265,5,1,1,4,ACAM,BRHO,18,focal,yes,4/10/24,,,,,,,,
203,5,1,1,2,ACAM,BRHO,6,focal,yes,4/10/24,,,,,,,,
240,5,1,1,3,ACAM,BRHO,84,focal,yes,4/10/24,,,,,,,,
185,6,0.6,1,2,ACAM,BRHO,18,focal,yes,4/10/24,,,,,,,,
162,6,0.75,1,1,ACAM,BRHO,3,focal,yes,4/10/24,,,,,,,,
202,6,1,1,2,ACAM,BRHO,3,focal,buds,4/10/24,yes,4/15/24,,,,,,
270,6,1,1,4,ACAM,BRHO,84,focal,yes,4/10/24,,,,,,,,
326,6,0.6,1,3,BRHO,ACAM,focal,12,yes,4/10/24,,,,,,,,
304,6,0.6,1,1,BRHO,ACAM,focal,48,yes,4/10/24,,,,,,,,
346,6,1,1,4,BRHO,ACAM,focal,12,yes,4/10/24,,,,,,,,
314,6,0.6,1,2,BRHO,ACAM,focal,12,yes,4/10/24,,,,,,,,
302,7,0.6,1,1,BRHO,ACAM,focal,12,yes,4/10/24,,,,,,,,
186,7,0.6,1,2,ACAM,BRHO,24,focal,yes,4/10/24,,,,,,,,
322,7,1,1,2,BRHO,ACAM,focal,12,yes,4/10/24,,,,,,,,
360,7,1,1,5,BRHO,ACAM,focal,48,yes,4/10/24,,,,,,,,
336,7,1,1,3,BRHO,ACAM,focal,48,yes,4/10/24,,,,,,,,
303,7,0.6,1,1,BRHO,ACAM,focal,24,yes,4/10/24,,,,,,,,
268,7,1,1,4,ACAM,BRHO,48,focal,no,4/10/24,no,4/15/24,,,,,,
261,7,1,1,4,ACAM,BRHO,0,focal,yes,4/10/24,,,,,,,,
156,8,0.6,1,1,ACAM,BRHO,24,focal,yes,4/10/24,,,,,,,,
164,8,0.75,1,1,ACAM,BRHO,12,focal,buds,4/10/24,yes,4/15/24,,,,,,
225,8,0.75,1,3,ACAM,BRHO,18,focal,no,4/10/24,yes,4/15/24,,,,,,
262,8,1,1,4,ACAM,BRHO,3,focal,no,4/10/24,no,4/15/24,,,,,,
167,8,0.75,1,1,ACAM,BRHO,36,focal,no,4/10/24,no,4/15/24,,,,,,
266,8,1,1,4,ACAM,BRHO,24,focal,yes,4/10/24,,,,,,,,
329,8,0.75,1,3,BRHO,ACAM,focal,0,NA,4/10/24,,,,,,,,
