unique.ID,block,water,microbe,rep,bkgrd,focal,ACAM,BRHO,BRHO.flowering,date,sample.collected,num.living.bg.indiv,num.dead.bg.indiv,num.focal.indiv,date,notes
18,1,0.75,0,1,ACAM,BRHO,48,focal,yes,,,,,,,
108,1,0.75,0,4,ACAM,BRHO,48,focal,buds,,,,,,,
98,1,0.6,0,4,ACAM,BRHO,48,focal,yes,,,,,,,
75,1,0.75,0,3,ACAM,BRHO,18,focal,yes,,,,,,,
106,1,0.75,0,4,ACAM,BRHO,24,focal,yes,,,,,,,
24,1,1,0,1,ACAM,BRHO,12,focal,no,,,,,,,
69,1,0.6,0,3,ACAM,BRHO,60,focal,no,,,,,,,
28,1,1,0,1,ACAM,BRHO,48,focal,yes,,,,,,,
35,2,0.6,0,2,ACAM,BRHO,18,focal,yes,,,,,,,
114,2,1,0,4,ACAM,BRHO,12,focal,buds,,,,,,,
115,2,1,0,4,ACAM,BRHO,18,focal,no,,,,,,,
124,2,0.6,0,5,ACAM,BRHO,12,focal,yes,,,,,,,
55,2,1,0,2,ACAM,BRHO,18,focal,yes,,,,,,,
96,2,0.6,0,4,ACAM,BRHO,24,focal,yes,,,,,,,
121,2,0.6,0,5,ACAM,BRHO,0,focal,yes,,,,,,,
95,2,0.6,0,4,ACAM,BRHO,18,focal,no,,,,,,,
23,3,1,0,1,ACAM,BRHO,6,focal,yes,,,,,,,
87,3,1,0,3,ACAM,BRHO,36,focal,yes,,,,,,,
39,3,0.6,0,2,ACAM,BRHO,60,focal,yes,,,,,,,
86,3,1,0,3,ACAM,BRHO,24,focal,yes,,,,,,,
10,3,0.6,0,1,ACAM,BRHO,84,focal,buds,,,,,,,
13,3,0.75,0,1,ACAM,BRHO,6,focal,yes,,,,,,,
22,3,1,0,1,ACAM,BRHO,3,focal,yes,,,,,,,
8,3,0.6,0,1,ACAM,BRHO,48,focal,yes,,,,,,,
34,4,0.6,0,2,ACAM,BRHO,12,focal,yes,,,,,,,
117,4,1,0,4,ACAM,BRHO,36,focal,yes,,,,,,,
6,4,0.6,0,1,ACAM,BRHO,24,focal,yes,,,,,,,
43,4,0.75,0,2,ACAM,BRHO,6,focal,yes,,,,,,,
146,4,1,0,5,ACAM,BRHO,24,focal,yes,,,,,,,
92,4,0.6,0,4,ACAM,BRHO,3,focal,yes,,,,,,,
58,4,1,0,2,ACAM,BRHO,48,focal,yes,,,,,,,
40,4,0.6,0,2,ACAM,BRHO,84,focal,yes,,,,,,,
253,5,0.75,1,4,ACAM,BRHO,6,focal,yes,,,,,,,
181,5,0.6,1,2,ACAM,BRHO,0,focal,yes,,,,,,,
217,5,0.6,1,3,ACAM,BRHO,36,focal,yes,,,,,,,
356,5,0.75,1,5,BRHO,ACAM,focal,48,yes,,,,,,,
324,5,1,1,2,BRHO,ACAM,focal,48,yes,,,,,,,
265,5,1,1,4,ACAM,BRHO,18,focal,yes,,,,,,,
203,5,1,1,2,ACAM,BRHO,6,focal,yes,,,,,,,
240,5,1,1,3,ACAM,BRHO,84,focal,yes,,,,,,,
185,6,0.6,1,2,ACAM,BRHO,18,focal,yes,,,,,,,
162,6,0.75,1,1,ACAM,BRHO,3,focal,yes,,,,,,,
202,6,1,1,2,ACAM,BRHO,3,focal,buds,,,,,,,
270,6,1,1,4,ACAM,BRHO,84,focal,yes,,,,,,,
326,6,0.6,1,3,BRHO,ACAM,focal,12,yes,,,,,,,
304,6,0.6,1,1,BRHO,ACAM,focal,48,yes,,,,,,,
346,6,1,1,4,BRHO,ACAM,focal,12,yes,,,,,,,
314,6,0.6,1,2,BRHO,ACAM,focal,12,yes,,,,,,,
302,7,0.6,1,1,BRHO,ACAM,focal,12,yes,,,,,,,
186,7,0.6,1,2,ACAM,BRHO,24,focal,yes,,,,,,,
322,7,1,1,2,BRHO,ACAM,focal,12,yes,,,,,,,
360,7,1,1,5,BRHO,ACAM,focal,48,yes,,,,,,,
336,7,1,1,3,BRHO,ACAM,focal,48,yes,,,,,,,
303,7,0.6,1,1,BRHO,ACAM,focal,24,yes,,,,,,,
268,7,1,1,4,ACAM,BRHO,48,focal,no,,,,,,,
261,7,1,1,4,ACAM,BRHO,0,focal,yes,,,,,,,
156,8,0.6,1,1,ACAM,BRHO,24,focal,yes,,,,,,,
164,8,0.75,1,1,ACAM,BRHO,12,focal,buds,,,,,,,
225,8,0.75,1,3,ACAM,BRHO,18,focal,no,,,,,,,
262,8,1,1,4,ACAM,BRHO,3,focal,no,,,,,,,
167,8,0.75,1,1,ACAM,BRHO,36,focal,no,,,,,,,
266,8,1,1,4,ACAM,BRHO,24,focal,yes,,,,,,,
329,8,0.75,1,3,BRHO,ACAM,focal,0,NA,,,,,,,
307,8,0.75,1,1,BRHO,ACAM,focal,24,yes,,,,,,,
7,9,0.6,0,1,ACAM,BRHO,36,focal,yes,,,,,,,
61,9,0.6,0,3,ACAM,BRHO,0,focal,no,,,,,,,
94,9,0.6,0,4,ACAM,BRHO,12,focal,yes,,,,,,,
81,9,1,0,3,ACAM,BRHO,0,focal,yes,,,,,,,
63,9,0.6,0,3,ACAM,BRHO,6,focal,yes,,,,,,,
100,9,0.6,0,4,ACAM,BRHO,84,focal,yes,,,,,,,
101,9,0.75,0,4,ACAM,BRHO,0,focal,yes,,,,,,,
19,9,0.75,0,1,ACAM,BRHO,60,focal,yes,,,,,,,
71,10,0.75,0,3,ACAM,BRHO,0,focal,yes,,,,,,,
93,10,0.6,0,4,ACAM,BRHO,6,focal,yes,,,,,,,
41,10,0.75,0,2,ACAM,BRHO,0,focal,yes,,,,,,,
102,10,0.75,0,4,ACAM,BRHO,3,focal,yes,,,,,,,
131,10,0.75,0,5,ACAM,BRHO,0,focal,yes,,,,,,,
25,10,1,0,1,ACAM,BRHO,18,focal,yes,,,,,,,
37,10,0.6,0,2,ACAM,BRHO,36,focal,yes,,,,,,,
52,10,1,0,2,ACAM,BRHO,3,focal,yes,,,,,,,
16,11,0.75,0,1,ACAM,BRHO,24,focal,yes,,,,,,,
72,11,0.75,0,3,ACAM,BRHO,3,focal,yes,,,,,,,
134,11,0.75,0,5,ACAM,BRHO,12,focal,yes,,,,,,,
136,11,0.75,0,5,ACAM,BRHO,24,focal,yes,,,,,,,
54,11,1,0,2,ACAM,BRHO,12,focal,yes,,,,,,,
112,11,1,0,4,ACAM,BRHO,3,focal,yes,,,,,,,
148,11,1,0,5,ACAM,BRHO,48,focal,no,,,,,,,
9,11,0.6,0,1,ACAM,BRHO,60,focal,yes,,,,,,,
66,12,0.6,0,3,ACAM,BRHO,24,focal,yes,,,,,,,
90,12,1,0,3,ACAM,BRHO,84,focal,yes,,,,,,,
111,12,1,0,4,ACAM,BRHO,0,focal,buds,,,,,,,
78,12,0.75,0,3,ACAM,BRHO,48,focal,yes,,,,,,,
120,12,1,0,4,ACAM,BRHO,84,focal,yes,,,,,,,
126,12,0.6,0,5,ACAM,BRHO,24,focal,yes,,,,,,,
12,12,0.75,0,1,ACAM,BRHO,3,focal,yes,,,,,,,
339,13,0.6,1,4,BRHO,ACAM,focal,24,yes,,,,,,,
259,13,0.75,1,4,ACAM,BRHO,60,focal,no,,,,,,,
315,13,0.6,1,2,BRHO,ACAM,focal,24,yes,,,,,,,
349,13,0.6,1,5,BRHO,ACAM,focal,0,NA,,,,,,,
351,13,0.6,1,5,BRHO,ACAM,focal,24,yes,,,,,,,
163,13,0.75,1,1,ACAM,BRHO,6,focal,yes,,,,,,,
205,13,1,1,2,ACAM,BRHO,18,focal,no,,,,,,,
206,13,1,1,2,ACAM,BRHO,24,focal,no,,,,,,,
241,14,0.6,1,4,ACAM,BRHO,0,focal,yes,,,,,,,
332,14,0.75,1,3,BRHO,ACAM,focal,48,yes,,,,,,,
359,14,1,1,5,BRHO,ACAM,focal,24,yes,,,,,,,
215,14,0.6,1,3,ACAM,BRHO,18,focal,no,,,,,,,
255,14,0.75,1,4,ACAM,BRHO,18,focal,no,,,,,,,
226,14,0.75,1,3,ACAM,BRHO,24,focal,yes,,,,,,,
197,14,0.75,1,2,ACAM,BRHO,36,focal,yes,,,,,,,
214,14,0.6,1,3,ACAM,BRHO,12,focal,no,,,,,,,
316,15,0.6,1,2,BRHO,ACAM,focal,48,yes,,,,,,,
207,15,1,1,2,ACAM,BRHO,36,focal,buds,,,,,,,
247,15,0.6,1,4,ACAM,BRHO,36,focal,yes,,,,,,,
331,15,0.75,1,3,BRHO,ACAM,focal,24,yes,,,,,,,
286,15,0.75,1,5,ACAM,BRHO,24,focal,no,,,,,,,
209,15,1,1,2,ACAM,BRHO,60,focal,buds,,,,,,,
152,15,0.6,1,1,ACAM,BRHO,3,focal,yes,,,,,,,
327,15,0.6,1,3,BRHO,ACAM,focal,24,yes,,,,,,,
165,16,0.75,1,1,ACAM,BRHO,18,focal,buds,,,,,,,
340,16,0.6,1,4,BRHO,ACAM,focal,48,yes,,,,,,,
333,16,1,1,3,BRHO,ACAM,focal,0,NA,,,,,,,
189,16,0.6,1,2,ACAM,BRHO,60,focal,yes,,,,,,,
278,16,0.6,1,5,ACAM,BRHO,48,focal,yes,,,,,,,
179,16,1,1,1,ACAM,BRHO,60,focal,buds,,,,,,,
201,16,1,1,2,ACAM,BRHO,0,focal,buds,,,,,,,
252,16,0.75,1,4,ACAM,BRHO,3,focal,yes,,,,,,,
160,17,0.6,1,1,ACAM,BRHO,84,focal,no,,,,,,,
177,17,1,1,1,ACAM,BRHO,36,focal,yes,,,,,,,
294,17,1,1,5,ACAM,BRHO,12,focal,no,,,,,,,
191,17,0.75,1,2,ACAM,BRHO,0,focal,yes,,,,,,,
343,17,0.75,1,4,BRHO,ACAM,focal,24,yes,,,,,,,
173,17,1,1,1,ACAM,BRHO,6,focal,no,,,,,,,
232,17,1,1,3,ACAM,BRHO,3,focal,no,,,,,,,
170,17,0.75,1,1,ACAM,BRHO,84,focal,no,,,,,,,
234,18,1,1,3,ACAM,BRHO,12,focal,buds,,,,,,,
269,18,1,1,4,ACAM,BRHO,60,focal,yes,,,,,,,
242,18,0.6,1,4,ACAM,BRHO,3,focal,no,,,,,,,
228,18,0.75,1,3,ACAM,BRHO,48,focal,yes,,,,,,,
296,18,1,1,5,ACAM,BRHO,24,focal,no,,,,,,,
298,18,1,1,5,ACAM,BRHO,48,focal,buds,,,,,,,
213,18,0.6,1,3,ACAM,BRHO,6,focal,no,,,,,,,
347,18,1,1,4,BRHO,ACAM,focal,24,yes,,,,,,,
29,19,1,0,1,ACAM,BRHO,60,focal,no,,,,,,,
32,19,0.6,0,2,ACAM,BRHO,3,focal,buds,,,,,,,
17,19,0.75,0,1,ACAM,BRHO,36,focal,yes,,,,,,,
60,19,1,0,2,ACAM,BRHO,84,focal,yes,,,,,,,
48,19,0.75,0,2,ACAM,BRHO,48,focal,yes,,,,,,,
26,19,1,0,1,ACAM,BRHO,24,focal,no,,,,,,,
47,19,0.75,0,2,ACAM,BRHO,36,focal,yes,,,,,,,
85,19,1,0,3,ACAM,BRHO,18,focal,yes,,,,,,,
105,20,0.75,0,4,ACAM,BRHO,18,focal,buds,,,,,,,
109,20,0.75,0,4,ACAM,BRHO,60,focal,buds,,,,,,,
138,20,0.75,0,5,ACAM,BRHO,48,focal,yes,,,,,,,
144,20,1,0,5,ACAM,BRHO,12,focal,buds,,,,,,,
44,20,0.75,0,2,ACAM,BRHO,12,focal,yes,,,,,,,
53,20,1,0,2,ACAM,BRHO,6,focal,yes,,,,,,,
50,20,0.75,0,2,ACAM,BRHO,84,focal,yes,,,,,,,
65,20,0.6,0,3,ACAM,BRHO,18,focal,buds,,,,,,,
3,21,0.6,0,1,ACAM,BRHO,6,focal,yes,,,,,,,
30,21,1,0,1,ACAM,BRHO,84,focal,buds,,,,,,,
68,21,0.6,0,3,ACAM,BRHO,48,focal,yes,,,,,,,
27,21,1,0,1,ACAM,BRHO,36,focal,buds,,,,,,,
82,21,1,0,3,ACAM,BRHO,3,focal,yes,,,,,,,
119,21,1,0,4,ACAM,BRHO,60,focal,buds,,,,,,,
88,21,1,0,3,ACAM,BRHO,48,focal,no,,,,,,,
73,21,0.75,0,3,ACAM,BRHO,6,focal,yes,,,,,,,
36,22,0.6,0,2,ACAM,BRHO,24,focal,no,,,,,,,
84,22,1,0,3,ACAM,BRHO,12,focal,buds,,,,,,,
2,22,0.6,0,1,ACAM,BRHO,3,focal,yes,,,,,,,
5,22,0.6,0,1,ACAM,BRHO,18,focal,yes,,,,,,,
70,22,0.6,0,3,ACAM,BRHO,84,focal,yes,,,,,,,
107,22,0.75,0,4,ACAM,BRHO,36,focal,no,,,,,,,
91,22,0.6,0,4,ACAM,BRHO,0,focal,no,,,,,,,
110,22,0.75,0,4,ACAM,BRHO,84,focal,yes,,,,,,,
159,23,0.6,1,1,ACAM,BRHO,60,focal,buds,,,,,,,
212,23,0.6,1,3,ACAM,BRHO,3,focal,yes,,,,,,,
246,23,0.6,1,4,ACAM,BRHO,24,focal,no,,,,,,,
267,23,1,1,4,ACAM,BRHO,36,focal,yes,,,,,,,
357,23,1,1,5,BRHO,ACAM,focal,0,NA,,,,,,,
211,23,0.6,1,3,ACAM,BRHO,0,focal,yes,,,,,,,
338,23,0.6,1,4,BRHO,ACAM,focal,12,no,,,,,,,
321,23,1,1,2,BRHO,ACAM,focal,0,NA,,,,,,,
192,24,0.75,1,2,ACAM,BRHO,3,focal,yes,,,,,,,
330,24,0.75,1,3,BRHO,ACAM,focal,12,yes,,,,,,,
178,24,1,1,1,ACAM,BRHO,48,focal,yes,,,,,,,
154,24,0.6,1,1,ACAM,BRHO,12,focal,yes,,,,,,,
158,24,0.6,1,1,ACAM,BRHO,48,focal,yes,,,,,,,
251,24,0.75,1,4,ACAM,BRHO,0,focal,yes,,,,,,,
176,24,1,1,1,ACAM,BRHO,24,focal,yes,,,,,,,
353,24,0.75,1,5,BRHO,ACAM,focal,0,NA,,,,,,,
198,25,0.75,1,2,ACAM,BRHO,48,focal,yes,,,,,,,
182,25,0.6,1,2,ACAM,BRHO,3,focal,no,,,,,,,
190,25,0.6,1,2,ACAM,BRHO,84,focal,no,,,,,,,
256,25,0.75,1,4,ACAM,BRHO,24,focal,yes,,,,,,,
187,25,0.6,1,2,ACAM,BRHO,36,focal,yes,,,,,,,
175,25,1,1,1,ACAM,BRHO,18,focal,no,,,,,,,
227,25,0.75,1,3,ACAM,BRHO,36,focal,buds,,,,,,,
350,25,0.6,1,5,BRHO,ACAM,focal,12,yes,,,,,,,
216,26,0.6,1,3,ACAM,BRHO,24,focal,no,,,,,,,
172,26,1,1,1,ACAM,BRHO,3,focal,no,,,,,,,
204,26,1,1,2,ACAM,BRHO,12,focal,no,,,,,,,
157,26,0.6,1,1,ACAM,BRHO,36,focal,no,,,,,,,
219,26,0.6,1,3,ACAM,BRHO,60,focal,no,,,,,,,
301,26,0.6,1,1,BRHO,ACAM,focal,0,NA,,,,,,,
250,26,0.6,1,4,ACAM,BRHO,84,focal,no,,,,,,,
188,26,0.6,1,2,ACAM,BRHO,48,focal,yes,,,,,,,
77,27,0.75,0,3,ACAM,BRHO,36,focal,yes,,,,,,,
76,27,0.75,0,3,ACAM,BRHO,24,focal,no,,,,,,,
4,27,0.6,0,1,ACAM,BRHO,12,focal,yes,,,,,,,
49,27,0.75,0,2,ACAM,BRHO,60,focal,yes,,,,,,,
104,27,0.75,0,4,ACAM,BRHO,12,focal,yes,,,,,,,
51,27,1,0,2,ACAM,BRHO,0,focal,yes,,,,,,,
62,27,0.6,0,3,ACAM,BRHO,3,focal,no,,,,,,,
103,27,0.75,0,4,ACAM,BRHO,6,focal,buds,,,,,,,
42,28,0.75,0,2,ACAM,BRHO,3,focal,buds,,,,,,,
89,28,1,0,3,ACAM,BRHO,60,focal,buds,,,,,,,
