species,treatment,rep,date.started,actual.num.seeds,10-27-2023,10-28-2023,10-29-2023,10-30-2023,10-31-2023,11-1-2023,11-2-2023,11-3-2023,11-4-2023,11-5-2023,11-6-2023,11-7-2023,11-8-2023,11-9-2023,num.moldy,notes
ACAM,control,1,10-26-2023,10,0,NA,NA,1,0,1,NA,3,0,,,,,,,
ACAM,control,2,10-26-2023,10,1,NA,NA,0,0,2,NA,4,0,,,,,,1,
ACAM,control,3,10-26-2023,10,0,NA,NA,6,0,0,NA,1,0,,,,,,,
ACAM,control,4,10-26-2023,10,0,NA,NA,5,0,0,NA,0,0,,,,,,,11/1: one seed sort of smooshed and soft
ACAM,control,5,10-26-2023,10,0,NA,NA,6,1,0,NA,1,0,,,,,,,
ACAM,soak,1,10-26-2023,10,2,NA,NA,4,0,0,NA,0,0,,,,,,,
ACAM,soak,2,10-26-2023,10,2,NA,NA,2,1,0,NA,2,0,,,,,,1,
ACAM,soak,3,10-26-2023,10,1,NA,NA,3,0,0,NA,0,0,,,,,,1,
ACAM,soak,4,10-26-2023,10,2,NA,NA,5,0,0,NA,0,0,,,,,,,
ACAM,soak,5,10-26-2023,10,1,NA,NA,2,1,0,NA,0,0,,,,,,,
ACAM,scarify,1,10-26-2023,10,0,NA,NA,8,1,1,NA,,,,,,,,,
ACAM,scarify,2,10-26-2023,10,0,NA,NA,8,0,0,NA,0,0,,,,,,,1 seed getting moldy 11/3 but will leave and see if it does germinate eventually
ACAM,scarify,3,10-26-2023,10,0,NA,NA,8,0,0,NA,0,0,,,,,,,
ACAM,scarify,4,10-26-2023,10,0,NA,NA,9,0,0,NA,0,0,,,,,,,
ACAM,scarify,5,10-26-2023,10,1,NA,NA,6,0,0,NA,0,0,,,,,,1,"only 2 seeds left, 1 went missing somewhere along the way..."
ACAM,soak-scarify,1,10-26-2023,10,4,NA,NA,1,0,0,NA,0,0,,,,,,3,
ACAM,soak-scarify,2,10-26-2023,10,5,NA,NA,0,0,0,NA,0,0,,,,,,3,seeds look mushy
ACAM,soak-scarify,3,10-26-2023,10,5,NA,NA,1,0,0,NA,0,0,,,,,,,
ACAM,soak-scarify,4,10-26-2023,10,8,NA,NA,1,0,0,NA,0,,,,,,,1,
ACAM,soak-scarify,5,10-26-2023,10,6,NA,NA,0,1,0,NA,0,0,,,,,,1,
ACAM,sterilize,1,10-26-2023,10,0,NA,NA,0,4,0,NA,1,1,,,,,,,
ACAM,sterilize,2,10-26-2023,10,0,NA,NA,0,0,0,NA,1,0,,,,,,,
ACAM,sterilize,3,10-26-2023,10,0,NA,NA,0,0,0,NA,3,0,,,,,,,
ACAM,sterilize,4,10-26-2023,10,0,NA,NA,0,0,1,NA,2,1,,,,,,,
ACAM,sterilize,5,10-26-2023,10,0,NA,NA,0,1,1,NA,2,0,,,,,,,
ACAM,sterilize-soak,1,10-27-2023,10,NA,NA,NA,1,1,0,NA,1,0,,,,,,1,
ACAM,sterilize-soak,2,10-27-2023,10,NA,NA,NA,6,1,0,NA,0,0,,,,,,,
ACAM,sterilize-soak,3,10-27-2023,10,NA,NA,NA,3,1,0,NA,1,0,,,,,,,
ACAM,sterilize-soak,4,10-27-2023,10,NA,NA,NA,2,0,1,NA,0,0,,,,,,,
ACAM,sterilize-soak,5,10-27-2023,10,NA,NA,NA,7,1,0,NA,0,0,,,,,,,
ACAM,sterilize-scarify,1,10-26-2023,10,0,NA,NA,4,0,0,NA,0,0,,,,,,,"only 5 seeds left, one got lost in the shuffle"
ACAM,sterilize-scarify,2,10-26-2023,10,0,NA,NA,6,0,0,NA,0,0,,,,,,2,
ACAM,sterilize-scarify,3,10-26-2023,9,0,NA,NA,5,0,0,NA,0,0,,,,,,,
ACAM,sterilize-scarify,4,10-26-2023,10,0,NA,NA,6,0,0,NA,0,0,,,,,,,
ACAM,sterilize-scarify,5,10-26-2023,10,0,NA,NA,5,1,0,NA,0,0,,,,,,3,
ACAM,sterilize-scarify-soak,1,10-27-2023,10,NA,NA,NA,6,0,0,NA,0,0,,,,,,2,
ACAM,sterilize-scarify-soak,2,10-27-2023,10,NA,NA,NA,8,1,0,NA,0,0,,,,,,,
ACAM,sterilize-scarify-soak,3,10-27-2023,10,NA,NA,NA,7,0,0,NA,0,0,,,,,,,
ACAM,sterilize-scarify-soak,4,10-27-2023,10,NA,NA,NA,5,0,0,NA,0,0,,,,,,,
ACAM,sterilize-scarify-soak,5,10-27-2023,10,NA,NA,NA,7,1,0,NA,0,0,,,,,,1,
BRHO,control,1,10-26-2023,10,0,NA,NA,10,,,,,,,,,,,,
BRHO,control,2,10-26-2023,10,0,NA,NA,10,,,,,,,,,,,,
BRHO,control,3,10-26-2023,10,0,NA,NA,9,1,,,,,,,,,,,
BRHO,control,4,10-26-2023,10,0,NA,NA,9,1,,,,,,,,,,,
BRHO,control,5,10-26-2023,10,0,NA,NA,8,0,1,NA,0,0,,,,,,,
BRHO,soak,1,10-26-2023,10,10,,,,,,,,,,,,,,,
BRHO,soak,2,10-26-2023,10,8,NA,NA,0,0,0,NA,0,0,,,,,,,
BRHO,soak,3,10-26-2023,10,9,NA,NA,0,0,1,,,,,,,,,,
BRHO,soak,4,10-26-2023,11,11,NA,NA,,,,,,,,,,,,,
BRHO,soak,5,10-26-2023,11,11,NA,NA,,,,,,,,,,,,,
