bkgrd,focal,water,soil_sand_ratio,rep,empty_pot_weight_g,soil_actual_weight_g,sand_actual_weight_g,notes,water_to_add_g
ACAM,BRHO,1,100_0,1,30.9,912.8,0,,
ACAM,BRHO,1,100_0,2,29.3,973.1,0,,
ACAM,BRHO,1,100_0,3,28,826.5,0,,
ACAM,BRHO,1,100_0,4,27.9,934,0,,
ACAM,BRHO,1,100_0,5,30.2,900.4,0,,
ACAM,BRHO,1,75_25,1,27.9,749.4,304,,
ACAM,BRHO,1,75_25,2,27.8,735.5,268.9,,
ACAM,BRHO,1,75_25,3,27.6,714.7,291,,
ACAM,BRHO,1,75_25,4,30.1,746.8,297.3,,
ACAM,BRHO,1,75_25,5,30.1,717.8,289.1,,
ACAM,BRHO,1,60_40,1,30,621.3,541.7,,
ACAM,BRHO,1,60_40,2,30.4,563.9,413.3,,
ACAM,BRHO,1,60_40,3,27.9,651.8,430.1,,
ACAM,BRHO,1,60_40,4,27.7,595.6,436.7,,
ACAM,BRHO,1,60_40,5,28.2,685.5,531.9,,
ACAM,BRHO,1,50_50,1,28.2,451.3,621.7,,
ACAM,BRHO,1,50_50,2,30.4,489.8,604.6,,
ACAM,BRHO,1,50_50,3,28.5,441.2,582.7,,
ACAM,BRHO,1,50_50,4,29.2,488.4,594.2,,
ACAM,BRHO,1,50_50,5,30.5,449.2,576.8,removed 100g after switching from 1200 to 1100 total g,
ACAM,BRHO,0.75,75_25,1,28.7,899.4,300.3,removed 100g after switching from 1200 to 1100 total g,
ACAM,BRHO,0.75,75_25,2,28.6,899.6,299.8,,
ACAM,BRHO,0.75,75_25,3,28.2,825.1,274.7,,
ACAM,BRHO,0.75,75_25,4,28.8,825.7,275.2,,
ACAM,BRHO,0.75,60_40,1,28.6,659.4,439.5,,
ACAM,BRHO,0.75,60_40,2,28.1,659.5,439.7,,
ACAM,BRHO,0.75,60_40,3,31.3,660,439.6,,
ACAM,BRHO,0.75,60_40,4,27.9,659.9,439.9,,
ACAM,BRHO,0.75,50_50,1,28.4,550.2,550.2,,
ACAM,BRHO,0.75,50_50,2,30.9,551,550.9,,
ACAM,BRHO,0.75,50_50,3,30.9,550.3,550.7,,
ACAM,BRHO,0.75,50_50,4,27.9,550.7,550.2,,
ACAM,BRHO,0.5,75_25,1,30.8,824.9,274.8,,
ACAM,BRHO,0.5,75_25,2,28.5,825.3,274.9,,
ACAM,BRHO,0.5,75_25,3,28.4,825.5,275.2,,
ACAM,BRHO,0.5,75_25,4,30.2,824.8,275.5,,
ACAM,BRHO,0.5,60_40,1,28.4,660.2,550.2,,
ACAM,BRHO,0.5,60_40,2,30.5,660.8,550.5,,
ACAM,BRHO,0.5,60_40,3,28.7,659.9,550,,
ACAM,BRHO,0.5,60_40,4,27.7,660.7,550.3,,
ACAM,BRHO,0.5,50_50,1,27.9,550.5,550.7,,
ACAM,BRHO,0.5,50_50,2,30.6,550.2,550.4,,
ACAM,BRHO,0.5,50_50,3,30.6,550,550.1,,
ACAM,BRHO,0.5,50_50,4,29.2,550,550.3,,
ACAM,BRHO,0.25,75_25,1,28.4,825.6,275.6,,
ACAM,BRHO,0.25,75_25,2,31.1,825,275.1,,
ACAM,BRHO,0.25,75_25,3,31.5,825.2,275.8,,
ACAM,BRHO,0.25,75_25,4,31.3,825.1,275.1,,
ACAM,BRHO,0.25,60_40,1,27.7,660.3,440.3,,
ACAM,BRHO,0.25,60_40,2,27.8,660.4,439.9,,
ACAM,BRHO,0.25,60_40,3,27.9,660.4,440,,
ACAM,BRHO,0.25,60_40,4,27.9,660.1,440.2,,
ACAM,BRHO,0.25,50_50,1,31.4,550,550.2,,
ACAM,BRHO,0.25,50_50,2,27.7,550.7,550.6,,
ACAM,BRHO,0.25,50_50,3,28.1,550.6,550.2,,
ACAM,BRHO,0.25,50_50,4,28.1,550.3,550.1,,
