unique.ID,block,water,microbe,rep,bkgrd,focal,ACAM,BRHO,num.focal.indiv.in.bag,num.addl.focals,date,sample.collected,notes,partial.collection.date2,partial.completed,processing.date,inflor.g,total.biomass.g,processing.notes
1,28,0.6,0,1,ACAM,BRHO,0,focal,2,,5/23/2024,X,,,,6/3/24,1.058,3.608,
2,22,0.6,0,1,ACAM,BRHO,3,focal,1,1,5/16/2024,X,1 focal veg & not collected,,,06/03/24,0.509,1.148,
3,21,0.6,0,1,ACAM,BRHO,6,focal,2,,5/16/2024,2 OF 2 X,PARTIAL COLLECTION,05/31/2024,X,06/03/24,1.083,3.026,
4,27,0.6,0,1,ACAM,BRHO,12,focal,2,,5/13/2024,X,,,,5/30/2024,0.653,1.943,
5,22,0.6,0,1,ACAM,BRHO,18,focal,2,,5/12/2024,2 of 2 X,PARTIAL COLLECTION,05/30/2024,X,06/03/24,0.611,1.667,
6,4,0.6,0,1,ACAM,BRHO,24,focal,2,,5/11/2024,X,,,,5/30/2024,0.559,1.271,
7,9,0.6,0,1,ACAM,BRHO,36,focal,2,,5/6/2024,X,,,,5/30/2024,0.637,2.111,
8,3,0.6,0,1,ACAM,BRHO,48,focal,2,,05/10/24,X,,,,5/30/2024,0.42,1.357,
9,11,0.6,0,1,ACAM,BRHO,60,focal,2,,5/9/2024,X,,,,5/30/2024,0.618,1.707,
10,3,0.6,0,1,ACAM,BRHO,84,focal,2,,5/12/24,X,,,,5/30/2024,0.393,1.186,
11,42,0.75,0,1,ACAM,BRHO,0,focal,2,,5/9/2024,X,,,,5/30/2024,2.047,4.663,
12,12,0.75,0,1,ACAM,BRHO,3,focal,2,,05/06/24,x,,,,5/30/2023,1.422,5.311,
13,3,0.75,0,1,ACAM,BRHO,6,focal,2,,5/12/2024,X,ALLO,,,5/30/2024,1.472,3.911,
14,42,0.75,0,1,ACAM,BRHO,12,focal,2,,5/3/2024,X,,,,5/30/2024,1.235,2.955,
15,29,0.75,0,1,ACAM,BRHO,18,focal,2,,5/31/2024,X,,,,06/03/24,0.632,3.767,
16,11,0.75,0,1,ACAM,BRHO,24,focal,2,,5/11/2024,X,,,,5/30/2024,1.044,3.007,
17,19,0.75,0,1,ACAM,BRHO,36,focal,3,,5/11/2024,X,,,,5/30/2024,1.216,3.362,
18,1,0.75,0,1,ACAM,BRHO,48,focal,2,,05/03/24,x,,,,5/30/2024,0.575,1.779,
19,9,0.75,0,1,ACAM,BRHO,60,focal,2,,5/10/24,X,,,,5/30/2023,0.76,2.251,
20,30,0.75,0,1,ACAM,BRHO,84,focal,3,,5/12/2024,X,,,,5/30/2024,0.654,2.032,
21,29,1,0,1,ACAM,BRHO,0,focal,2,,5/30/2024,X,,,,06/03/2024,1.074,5.505,
22,3,1,0,1,ACAM,BRHO,3,focal,2,,5/12/2024,X,ALLO,,,5/30/2024,0.908,2.524,
23,3,1,0,1,ACAM,BRHO,6,focal,2,,5/9/2024,X,,,,5/30/2024,1.612,6.041,
24,1,1,0,1,ACAM,BRHO,12,focal,2,,5/20/2024,2 OF 2 X,PARTIAL COLLECTION,05/30/2024,X,6/3/2024,0.969,4.278,
25,10,1,0,1,ACAM,BRHO,18,focal,2,,5/3/2024,2 of 2 X,PARTIAL COLLECTION,5/23/24,X,6/3/24,1.31,4.608,
26,19,1,0,1,ACAM,BRHO,24,focal,2,,5/17/2024,2 OF 2 X,PARTIAL COLLECTION,5/23/24,X,6/3/24,0.763,3.202,
27,21,1,0,1,ACAM,BRHO,36,focal,2,,5/16/2024,X,,,,5/30/2024,0.996,4.454,
28,1,1,0,1,ACAM,BRHO,48,focal,2,,5/12/2024,2 of 2 X,"PARTIAL COLLECTION; 1 bg indiv accidentally collected, add this to bg count when collecting the rest",05/30/2024,X,06/03/2024,1.467,4.491,
29,19,1,0,1,ACAM,BRHO,60,focal,2,,5/16/2024,X,,,,5/30/2024,0.585,2.038,
30,21,1,0,1,ACAM,BRHO,84,focal,2,,5/20/2024,X,,,,6/3/24,0.726,3.225,
31,30,0.6,0,2,ACAM,BRHO,0,focal,2,,5/20/2024,X,,,,6/3/24,1.015,3.333,
32,19,0.6,0,2,ACAM,BRHO,3,focal,2,,5/15/2024,X,,,,5/30/2024,1.259,3.646,
33,29,0.6,0,2,ACAM,BRHO,6,focal,2,,5/29/2024,X,,,,6/3/24,1.083,3.966,
34,4,0.6,0,2,ACAM,BRHO,12,focal,2,,5/13/2024,X,,,,5/30/2024,0.975,2.484,
35,2,0.6,0,2,ACAM,BRHO,18,focal,2,,5/12/2024,X,,,,5/30/2024,0.693,1.77,
36,22,0.6,0,2,ACAM,BRHO,24,focal,2,,5/29/2024,2 OF 2 X,PARTIAL COLLECTION,05/30/2024,X,06/03/2024,0.369,1.32,
37,10,0.6,0,2,ACAM,BRHO,36,focal,2,,05/03/24,x,,,,5/30/2024,0.382,0.969,
38,29,0.6,0,2,ACAM,BRHO,48,focal,2,,05/17/24,x,"relabeled, should be good now; SUSPECT THIS WAS ALREADY SAMPLED AND LABELED AS 33",,,6/3/24,0.45,1.317,
39,3,0.6,0,2,ACAM,BRHO,60,focal,3,,5/12/2024,X,,,,5/30/2024,0.622,1.52,
40,4,0.6,0,2,ACAM,BRHO,84,focal,2,,5/9/2024,2 of 2 X,PARTIAL COLLECTION,05/30/2024,X,06/03/2024,0.446,1.399,
41,10,0.75,0,2,ACAM,BRHO,0,focal,2,,5/10/2024,x,ALLO,,,6/3/24,2.408,7.171,allo
42,28,0.75,0,2,ACAM,BRHO,3,focal,2,,5/17/2024,X,,,,6/4/24,1.7,5.843,
43,4,0.75,0,2,ACAM,BRHO,6,focal,2,,05/10/24,x,,,,6/3/24,1.883,5.008,kinda green
44,20,0.75,0,2,ACAM,BRHO,12,focal,2,,5/13/2024,2 OF 2 X,PARTIAL COLLECTION,05/31/2024,X,6/3/2024,1.015,4.344,"samples were separated but not for allo, weighed them separately and added the vlalues"
45,42,0.75,0,2,ACAM,BRHO,18,focal,2,,05/10/24,x,,,,6/3/24,1.323,2.803,
46,28,0.75,0,2,ACAM,BRHO,24,focal,2,,05/13/24,x,,,,5/31/2024,1.158,3.273,
47,19,0.75,0,2,ACAM,BRHO,36,focal,2,,5/12/2024,X,,,,5/31/24,0.958,2.963,
48,19,0.75,0,2,ACAM,BRHO,48,focal,3,,5/12/2024,X,,,,6/3/24,0.961,2.65,
49,27,0.75,0,2,ACAM,BRHO,60,focal,2,,5/27/2024,X,"PARTIAL COLLECTION; collected 1 seedhead 5/11/24, left rest to continue growing as some seedheads haven't flowered yet",5/27/2024,X,6/4/24,0.634,2.2,
50,20,0.75,0,2,ACAM,BRHO,84,focal,4,,5/15/2024,X,,,,5/31/24,0.439,1.431,
51,27,1,0,2,ACAM,BRHO,0,focal,2,,5/12/2024,2 OF 2 X,PARTIAL COLLECTION,05/27/24,X,6/4/24,1.273,5.139,
52,10,1,0,2,ACAM,BRHO,3,focal,1,2,5/16/2024,X,1 focal veg & not collected; 1 resprout removed,,,06/03/24,0.961,2.719,1 individual
